popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
86,0.574,0.913,6,-4.793,0,0.061,0.00158,0.133,0.156,0.423,115.728,208400,4,rock
86,0.502,0.89,4,-5.175,1,0.000147,0.0117,0.0364,0.217,0.259,133.52,292880,4,rock
85,0.31,0.7,9,-5.678,1,0.011,0.00965,0.047,0.0828,0.763,188.386,255493,4,rock
80,0.754,0.759,9,-5.218,1,0.153,0.000108,0.302,0.101,0.435,126.366,214667,4,rock
75,0.668,0.906,11,-4.881,0,0.214,0.00245,0.17,0.135,0.507,135.653,231933,4,rock
70,0.514,0.825,0,-5.135,1,0.000286,0.293,0.0487,0.607,0.655,125.274,207147,4,rock
84,0.532,0.767,7,-5.509,1,0.00287,0.000513,0.0574,0.39,0.755,127.361,210173,4,rock
74,0.456,0.863,3,-3.551,1,0.133,0.0538,0.0894,0.0553,0.532,135.962,301227,4,rock
72,0.547,0.931,2,-2.356,1,0.000998,0.0118,0.0615,0.278,0.697,118.4,261507,4,rock
70,0.649,0.903,7,-3.677,1,0.000841,0.000351,0.0318,0.122,0.412,121.841,225947,4,rock
75,0.457,0.904,2,-5.303,1,0.000239,0.0879,0.0747,0.396,0.48,141.038,317427,4,rock
66,0.588,0.851,7,-4.206,1,0.0344,0.00773,0.033,0.16,0.706,123.691,214560,4,rock
67,0.572,0.825,8,-3.977,1,7.13e-05,0.000134,0.04,0.134,0.56,98.057,183053,4,rock
66,0.599,0.787,2,-4.708,1,2.07e-05,5.27e-05,0.0338,0.064,0.822,114.065,185133,4,rock
76,0.389,0.873,4,-4.768,0,0.00532,0.0055,0.0475,0.273,0.303,106.767,312293,4,rock
68,0.37,0.919,4,-5.721,1,0.000376,0.419,0.102,0.49,0.471,134.021,344240,4,rock
67,0.292,0.838,9,-4.459,1,0.0014,0.479,0.078,0.0953,0.423,159.176,333800,4,rock
65,0.524,0.906,7,-4.301,1,0.037,3.64e-05,0.0963,0.309,0.605,123.1,266267,4,rock
66,0.576,0.659,9,-5.617,1,0.041,0.0,0.0383,0.0587,0.717,94.853,266040,4,rock
62,0.52,0.872,0,-4.354,1,6.71e-06,0.246,0.0383,0.207,0.449,120.006,167133,4,rock
63,0.551,0.96,9,-3.284,1,0.00135,6.54e-06,0.0508,0.0941,0.515,98.879,173747,4,rock
66,0.487,0.932,2,-4.001,1,0.0311,0.149,0.117,0.43,0.54,141.243,274227,4,rock
63,0.572,0.835,9,-5.552,1,0.00953,0.0144,0.079,0.012,0.591,131.567,280960,4,rock
62,0.481,0.724,4,-5.642,1,0.0018,0.177,0.0324,0.11,0.2,116.322,271000,4,rock
65,0.332,0.725,11,-5.809,0,0.000209,0.607,0.116,0.0767,0.422,182.364,366347,4,rock
64,0.512,0.979,4,-4.267,0,0.0513,0.00102,0.156,0.358,0.535,137.794,203293,4,rock
61,0.532,0.858,9,-5.023,1,0.00533,2.13e-06,0.0599,0.751,0.495,125.698,215533,4,rock
63,0.518,0.718,9,-4.355,1,4.85e-05,0.244,0.0343,0.25,0.531,127.593,189787,4,rock
63,0.452,0.821,7,-4.816,1,0.0165,3.53e-06,0.0324,0.13,0.414,108.529,250333,4,rock
61,0.531,0.864,7,-4.534,1,0.00164,0.132,0.08,0.884,0.665,130.722,202867,4,rock
58,0.372,0.873,8,-5.049,1,0.00225,0.137,0.0426,0.0638,0.481,159.991,230400,4,rock
61,0.569,0.901,9,-5.197,1,0.00555,0.26,0.0544,0.16,0.839,133.194,259413,4,rock
57,0.57,0.758,9,-4.362,1,5.64e-05,0.0304,0.036,0.448,0.451,93.095,164227,4,rock
57,0.57,0.753,9,-5.98,1,1.62e-06,0.627,0.0365,0.133,0.477,119.99,212227,4,rock
61,0.561,0.785,9,-4.973,1,0.0282,0.451,0.0629,0.0615,0.546,137.153,254200,4,rock
59,0.501,0.889,4,-3.89,0,0.000323,0.00164,0.0296,0.186,0.442,94.37,205107,4,rock
58,0.543,0.757,9,-4.986,1,0.00197,0.626,0.0497,0.103,0.22,127.648,285040,4,rock
61,0.521,0.881,9,-5.309,1,4.93e-06,0.0114,0.0387,0.141,0.564,160.026,210360,4,rock
56,0.514,0.904,9,-4.173,1,0.000702,0.0334,0.0634,0.0815,0.682,108.927,234027,4,rock
55,0.537,0.88,5,-4.902,1,0.000131,0.00531,0.0353,0.135,0.37,120.976,204373,4,rock
56,0.524,0.995,9,-2.676,1,0.0327,0.147,0.106,0.0819,0.323,133.596,217640,4,rock
57,0.675,0.93,0,-4.515,1,8.32e-05,0.000454,0.0319,0.315,0.778,110.013,190333,4,rock
58,0.586,0.84,7,-5.341,1,0.0122,0.0116,0.0487,0.0842,0.0784,132.36,348600,4,rock
59,0.233,0.87,9,-4.653,1,0.00791,0.0198,0.0643,0.251,0.409,162.003,310000,4,rock
57,0.604,0.737,9,-5.284,1,0.181,0.0146,0.175,0.346,0.417,128.056,254120,4,rock
56,0.616,0.801,9,-4.39,1,0.000165,3.97e-05,0.0342,0.11,0.4,120.029,222253,4,rock
58,0.73,0.388,0,-9.511,1,0.514,0.00791,0.051,0.0735,0.279,105.716,350267,3,rock
58,0.646,0.473,9,-6.297,1,0.0094,0.000337,0.0619,0.195,0.367,112.326,352040,4,rock
54,0.457,0.93,9,-4.203,1,4.67e-06,0.197,0.0588,0.174,0.674,150.188,210200,4,rock
56,0.455,0.79,7,-4.049,1,3.78e-06,0.00021,0.0432,0.0866,0.22,125.964,217467,4,rock
