popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
73,0.451,0.0223,1,-26.117,1,0.993,0.768,0.0461,0.13,0.0573,79.042,87467,3,electro
61,0.183,0.0896,2,-27.54,1,0.989,0.899,0.0486,0.107,0.0326,76.923,77347,3,electro
65,0.159,0.071,6,-27.109,0,0.911,0.856,0.0409,0.107,0.0602,146.977,464293,5,electro
63,0.26,0.01,4,-32.894,0,0.98,0.843,0.0359,0.131,0.0349,101.39,321880,4,electro
66,0.558,0.0259,8,-30.016,1,0.996,0.871,0.0458,0.0969,0.37,157.811,125520,4,electro
63,0.51,0.505,9,-13.053,0,0.342,0.96,0.0344,0.117,0.318,114.532,293752,4,electro
62,0.791,0.599,3,-13.648,1,0.315,0.928,0.145,0.111,0.57,93.988,310747,4,electro
41,0.591,0.183,5,-15.981,1,0.349,0.534,0.0573,0.132,0.388,138.967,58587,3,electro
58,0.71,0.734,0,-14.932,0,0.513,0.836,0.052,0.0701,0.4,147.98,177093,4,electro
59,0.645,0.393,6,-17.543,0,0.00903,0.89,0.043,0.364,0.441,101.757,323187,4,electro
54,0.108,0.0419,9,-26.441,0,0.971,0.909,0.0418,0.052,0.0429,69.511,255333,3,electro
58,0.828,0.61,1,-7.305,1,0.00104,0.894,0.0648,0.0792,0.566,130.064,191467,4,electro
57,0.581,0.459,3,-14.519,0,0.0398,0.881,0.0314,0.151,0.316,119.042,177267,4,electro
55,0.345,0.612,0,-14.163,0,0.455,0.956,0.0416,0.0854,0.126,130.743,293800,4,electro
51,0.381,0.000982,8,-28.82,1,0.977,0.239,0.0438,0.0966,0.0796,136.227,205187,4,electro
44,0.627,0.972,1,-9.493,1,0.0229,0.807,0.157,0.12,0.276,109.99,38388,4,electro
55,0.619,0.564,10,-10.695,0,0.871,0.926,0.0293,0.16,0.787,131.91,228867,4,electro
57,0.765,0.486,1,-14.671,1,0.42,0.876,0.0724,0.332,0.303,119.319,228053,4,electro
50,0.804,0.447,10,-9.769,0,0.666,0.96,0.0938,0.143,0.883,122.973,153320,4,electro
46,0.393,0.149,7,-22.274,0,0.983,0.846,0.0305,0.0808,0.065,120.88,125107,4,electro
55,0.696,0.775,10,-5.097,0,0.132,0.00879,0.142,0.37,0.474,123.023,365640,4,electro
54,0.599,0.406,4,-19.881,0,0.822,0.933,0.0368,0.112,0.326,134.762,547133,4,electro
51,0.72,0.246,3,-19.856,0,0.863,0.888,0.0718,0.1,0.119,119.986,143880,4,electro
49,0.632,0.0327,10,-20.273,0,0.995,0.717,0.0372,0.0865,0.0785,102.927,447800,4,electro
49,0.224,0.803,1,-10.739,1,0.63,0.935,0.0553,0.0926,0.551,72.287,286507,4,electro
39,0.508,0.0296,4,-26.465,0,0.989,0.956,0.0561,0.142,0.528,135.369,50344,3,electro
47,0.421,0.00682,0,-29.681,0,0.996,0.956,0.0391,0.154,0.139,73.402,131347,5,electro
46,0.497,0.127,5,-29.508,0,0.993,0.859,0.0505,0.147,0.0402,134.906,440333,4,electro
43,0.412,0.262,0,-13.449,1,0.841,0.905,0.0319,0.101,0.366,135.039,122467,4,electro
47,0.716,0.83,4,-7.661,0,0.284,0.887,0.0394,0.067,0.126,120.194,287587,4,electro
38,0.645,0.14,1,-19.677,1,0.993,0.88,0.0533,0.115,0.347,76.201,108011,4,electro
46,0.161,0.0333,1,-28.188,0,0.994,0.981,0.0371,0.0928,0.0481,71.669,531427,5,electro
47,0.431,0.623,1,-7.426,1,0.509,0.92,0.0368,0.0987,0.135,166.969,217133,4,electro
45,0.815,0.564,1,-8.358,0,0.0249,0.807,0.0656,0.0669,0.314,101.005,303920,4,electro
41,0.582,0.658,7,-13.347,1,0.0867,0.928,0.0392,0.252,0.0535,124.364,286293,4,electro
41,0.69,0.418,1,-14.155,1,0.548,0.855,0.0414,0.0963,0.413,120.047,231413,4,electro
44,0.737,0.836,0,-9.045,1,0.741,0.928,0.0594,0.0848,0.626,119.939,631240,4,electro
43,0.53,0.64,0,-9.149,1,0.426,0.916,0.102,0.0878,0.482,168.937,292827,4,electro
45,0.695,0.938,5,-9.969,0,0.0213,0.901,0.0638,0.0693,0.796,80.938,459280,4,electro
46,0.426,0.944,8,-9.179,1,0.0755,0.799,0.297,0.119,0.234,162.165,262533,4,electro
41,0.596,0.95,6,-12.759,1,0.0339,0.858,0.0462,0.138,0.434,134.984,432893,4,electro
40,0.291,0.964,9,-6.704,1,0.158,0.828,0.119,0.0946,0.541,166.953,184907,5,electro
40,0.541,0.423,0,-15.212,1,0.0774,0.903,0.0316,0.118,0.372,127.959,289693,4,electro
36,0.583,0.133,7,-14.76,0,0.979,0.694,0.0401,0.11,0.121,183.653,91107,4,electro
43,0.523,0.973,10,-8.9,0,0.739,0.857,0.0513,0.111,0.577,146.083,431467,4,electro
42,0.758,0.942,1,-6.389,1,0.00429,0.837,0.0916,0.375,0.377,139.84,134840,4,electro
41,0.851,0.647,8,-7.849,0,0.0103,0.825,0.284,0.212,0.638,79.002,333600,4,electro
37,0.684,0.81,1,-9.036,1,0.00358,0.886,0.065,0.0989,0.492,110.018,146034,4,electro
39,0.368,0.895,1,-9.684,0,0.0396,0.85,0.174,0.104,0.375,185.267,258960,5,electro
