popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
50,0.117,0.0492,2,-25.341,0,0.87,0.291,0.036,0.0873,0.0669,76.49,567467,4,classique
62,0.326,0.0993,7,-22.496,1,0.988,0.916,0.072,0.108,0.417,137.274,150973,1,classique
55,0.147,0.165,3,-19.898,1,0.861,0.478,0.037,0.129,0.159,143.528,356867,3,classique
52,0.132,0.0652,10,-24.431,1,0.956,0.927,0.0459,0.111,0.175,162.136,277440,3,classique
56,0.103,0.0931,0,-20.732,0,0.968,0.871,0.0405,0.149,0.0355,85.638,197200,4,classique
44,0.123,0.0116,0,-41.903,1,0.994,0.926,0.0488,0.0992,0.204,128.862,137560,4,classique
51,0.199,0.0673,0,-22.556,1,0.943,0.105,0.0529,0.15,0.0575,74.49,332533,4,classique
56,0.31,0.0555,7,-25.695,1,0.994,0.906,0.0395,0.121,0.566,70.515,140040,4,classique
50,0.175,0.115,4,-19.803,0,0.976,0.843,0.0346,0.103,0.133,86.708,396173,4,classique
56,0.538,0.0416,8,-25.889,1,0.941,0.915,0.0399,0.109,0.16,59.173,176467,4,classique
59,0.515,0.269,11,-21.859,0,0.847,0.0897,0.037,0.0757,0.964,130.998,90107,4,classique
53,0.42,0.282,7,-23.046,1,0.989,0.856,0.0424,0.142,0.936,96.199,90707,4,classique
48,0.282,0.279,4,-22.318,1,0.983,0.945,0.0486,0.104,0.853,166.715,159800,4,classique
51,0.567,0.369,6,-14.772,1,0.879,0.00478,0.041,0.126,0.891,101.105,332320,4,classique
48,0.0757,0.0435,7,-30.073,1,0.784,0.86,0.0518,0.109,0.143,67.1,361160,3,classique
50,0.397,0.0185,7,-32.417,1,0.995,0.917,0.0483,0.0828,0.256,128.58,292987,3,classique
54,0.384,0.0414,11,-23.019,0,0.992,0.897,0.0378,0.0684,0.0618,71.224,326520,4,classique
