popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
85,0.557,0.54,9,-10.484,1,0.0339,0.00248,0.0347,0.179,0.394,129.171,185733,4,rock
77,0.688,0.435,9,-11.359,1,0.449,0.0,0.0323,0.113,0.435,103.239,146333,4,rock
79,0.332,0.179,5,-11.83,1,0.879,0.0,0.0326,0.0886,0.315,96.529,125667,4,rock
79,0.443,0.403,0,-8.339,1,0.631,0.0,0.0322,0.111,0.41,143.462,243027,4,rock
79,0.533,0.376,9,-11.913,0,0.0302,0.248,0.0393,0.0926,0.187,165.007,259947,4,rock
77,0.686,0.127,7,-14.361,1,0.754,1.41e-05,0.0342,0.0573,0.372,93.699,138387,4,rock
77,0.482,0.849,2,-9.198,1,0.641,7.74e-06,0.0452,0.0414,0.937,124.631,155227,4,rock
73,0.425,0.369,4,-11.876,1,0.183,0.00126,0.0379,0.112,0.65,176.625,124693,3,rock
71,0.398,0.392,7,-9.05,1,0.207,0.0,0.0282,0.102,0.378,184.267,129120,3,rock
74,0.396,0.338,0,-10.872,1,0.198,2.62e-06,0.0304,0.138,0.377,133.522,182293,4,rock
71,0.416,0.563,1,-8.724,0,0.207,0.0,0.0298,0.343,0.9,77.56,127853,4,rock
72,0.818,0.728,10,-8.331,1,0.232,0.0642,0.0314,0.251,0.975,113.059,188960,4,rock
73,0.534,0.725,6,-7.576,0,0.188,0.0,0.0332,0.0994,0.763,95.003,139560,4,rock
72,0.767,0.331,1,-10.777,0,0.64,0.0,0.0337,0.0681,0.636,113.312,149693,4,rock
75,0.386,0.607,10,-7.7,1,0.0112,1.38e-05,0.0261,0.088,0.532,147.207,425653,4,rock
73,0.453,0.654,4,-8.855,0,0.0205,0.00395,0.0317,0.172,0.702,115.0,285000,4,rock
69,0.419,0.152,0,-12.126,1,0.326,0.0034,0.0277,0.113,0.239,80.608,91760,4,rock
70,0.59,0.805,0,-6.481,1,0.137,0.0,0.0371,0.0996,0.797,138.514,154200,4,rock
68,0.378,0.677,2,-8.63,1,0.0635,0.0,0.0298,0.183,0.648,106.071,135693,4,rock
67,0.689,0.313,0,-10.073,1,0.789,0.0,0.0366,0.144,0.625,133.754,108853,4,rock
71,0.581,0.28,4,-9.091,0,0.936,1.56e-05,0.0381,0.305,0.813,137.831,126533,4,rock
68,0.483,0.677,0,-5.91,1,0.283,0.0,0.0593,0.321,0.842,170.72,131867,4,rock
69,0.665,0.782,6,-8.438,0,0.12,4.19e-06,0.0307,0.125,0.731,137.453,169000,4,rock
68,0.519,0.85,9,-6.777,1,0.0457,0.0,0.0678,0.233,0.749,123.419,189680,4,rock
69,0.491,0.801,4,-9.835,1,0.27,0.0,0.0361,0.0665,0.971,160.109,173947,4,rock
67,0.652,0.583,9,-7.811,1,0.412,0.0,0.038,0.119,0.744,138.134,163600,4,rock
67,0.564,0.827,7,-7.089,1,0.0904,3.73e-06,0.0283,0.127,0.912,89.847,139347,4,rock
69,0.578,0.29,5,-12.501,0,0.652,0.0,0.0341,0.105,0.666,117.403,162373,4,rock
68,0.761,0.592,2,-9.836,1,0.492,0.00626,0.0586,0.61,0.332,123.095,189387,4,rock
67,0.29,0.247,7,-12.125,1,0.921,0.00565,0.0383,0.0917,0.36,165.361,144880,4,rock
67,0.631,0.387,5,-11.529,1,0.742,0.000406,0.0262,0.0822,0.832,103.11,105933,4,rock
68,0.377,0.916,4,-3.199,0,0.26,0.0,0.0481,0.074,0.912,75.533,140920,4,rock
67,0.299,0.329,3,-10.096,1,0.756,0.0105,0.0279,0.0559,0.392,132.282,218187,4,rock
66,0.483,0.351,1,-10.487,0,0.783,0.0,0.0278,0.115,0.713,81.208,119813,4,rock
66,0.534,0.624,4,-9.589,1,0.00797,0.0,0.0462,0.128,0.687,121.402,163693,4,rock
69,0.593,0.289,4,-11.049,1,0.568,0.000829,0.0259,0.0928,0.733,77.119,215733,4,rock
67,0.705,0.515,4,-9.343,1,0.365,0.0,0.0337,0.389,0.803,112.035,164107,4,rock
66,0.651,0.488,9,-8.22,1,0.212,0.026,0.0316,0.136,0.49,113.038,180893,4,rock
67,0.754,0.571,2,-8.547,1,0.0173,0.0,0.0421,0.3,0.82,122.463,148893,4,rock
65,0.665,0.31,2,-8.928,1,0.68,0.0,0.0278,0.0877,0.568,108.211,139467,4,rock
66,0.704,0.241,1,-13.258,1,0.625,2.8e-05,0.0476,0.0868,0.661,140.411,157667,4,rock
68,0.422,0.656,4,-8.412,1,0.0126,0.0279,0.0397,0.268,0.549,173.93,207240,3,rock
67,0.257,0.412,1,-11.788,1,0.361,8.68e-05,0.0287,0.0702,0.858,152.126,228133,4,rock
64,0.647,0.56,9,-8.809,1,0.723,0.0,0.0387,0.118,0.913,120.418,125040,3,rock
69,0.311,0.325,2,-9.042,1,0.0469,0.0,0.0283,0.139,0.668,65.09,208467,1,rock
66,0.626,0.512,1,-9.15,0,0.155,4.65e-05,0.0247,0.215,0.73,92.225,170720,4,rock
67,0.4,0.48,7,-7.768,1,0.346,3.1e-05,0.0295,0.155,0.653,103.436,230387,4,rock
64,0.727,0.338,5,-13.887,1,0.79,0.0,0.0454,0.105,0.646,122.421,133507,4,rock
64,0.699,0.294,5,-13.205,0,0.587,0.0,0.0294,0.117,0.893,96.615,151720,4,rock
70,0.39,0.502,10,-12.277,1,0.336,0.000138,0.178,0.0713,0.289,97.871,247320,4,rock
