popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
64,0.25,0.318,0,-15.605,0,0.956,0.897,0.0411,0.0976,0.188,98.171,442000,4,classique
66,0.289,0.0306,9,-30.79,0,0.987,0.911,0.0446,0.102,0.118,125.61,212067,3,classique
60,0.278,0.00245,1,-41.53,0,0.995,0.881,0.0497,0.114,0.293,139.161,403333,3,classique
56,0.247,0.0383,5,-22.76,1,0.955,0.714,0.0363,0.108,0.136,108.252,758267,4,classique
44,0.363,0.193,7,-19.428,1,0.99,0.91,0.0328,0.0888,0.325,85.701,373665,4,classique
51,0.323,0.304,9,-15.739,1,0.9,0.899,0.0395,0.274,0.4,146.104,530293,4,classique
50,0.144,0.043,10,-25.097,1,0.985,0.91,0.0399,0.0758,0.0596,99.435,771320,4,classique
52,0.209,0.0402,7,-27.175,1,0.931,0.0588,0.047,0.0869,0.0514,95.939,486000,4,classique
48,0.388,0.122,2,-22.312,1,0.952,0.48,0.0446,0.0538,0.591,153.204,211600,3,classique
47,0.351,0.0058,9,-30.991,1,0.993,0.83,0.0505,0.128,0.047,165.578,140267,3,classique
47,0.195,0.0708,2,-21.427,1,0.971,0.676,0.0495,0.119,0.219,76.016,631293,3,classique
54,0.367,0.0814,10,-23.788,0,0.913,0.931,0.0439,0.105,0.62,161.58,123773,4,classique
46,0.284,0.177,10,-21.164,0,0.987,0.914,0.0353,0.0977,0.126,141.734,479240,4,classique
45,0.366,0.117,5,-21.99,1,0.992,0.911,0.0461,0.0685,0.0609,92.227,475307,4,classique
45,0.348,0.175,3,-21.952,1,0.949,0.902,0.0338,0.174,0.42,142.919,85000,3,classique
50,0.287,0.0855,6,-24.19,0,0.992,0.888,0.0481,0.105,0.114,156.795,461400,4,classique
45,0.284,0.0528,3,-28.11,1,0.977,0.759,0.0443,0.0987,0.329,140.362,458587,4,classique
43,0.665,0.298,0,-21.019,1,0.99,0.847,0.0463,0.165,0.869,117.05,53467,4,classique
43,0.38,0.195,5,-20.799,1,0.907,0.926,0.0443,0.0956,0.555,92.182,196600,4,classique
45,0.223,0.137,4,-17.526,1,0.963,0.879,0.0401,0.131,0.101,61.585,383840,4,classique
43,0.278,0.0459,3,-23.982,1,0.981,0.79,0.0392,0.129,0.0757,73.984,547493,4,classique
48,0.261,0.00746,8,-34.733,1,0.995,0.955,0.0542,0.105,0.062,180.764,314187,4,classique
39,0.284,0.0862,7,-20.099,1,0.975,0.489,0.0459,0.105,0.118,125.556,394640,4,classique
44,0.243,0.078,5,-17.925,0,0.891,0.612,0.0428,0.116,0.0964,172.553,540813,3,classique
41,0.284,0.225,1,-21.294,1,0.957,0.877,0.0331,0.105,0.0398,98.534,238240,4,classique
46,0.208,0.0298,11,-25.588,1,0.987,0.929,0.0381,0.09,0.0392,81.449,503556,4,classique
44,0.258,0.0617,7,-25.764,1,0.966,0.698,0.0399,0.309,0.265,95.284,170333,3,classique
42,0.205,0.0467,0,-23.25,0,0.99,0.865,0.0458,0.1,0.0975,66.073,1248040,4,classique
42,0.284,0.188,2,-14.688,0,0.952,0.857,0.0377,0.0658,0.167,83.321,811907,4,classique
34,0.257,0.0266,11,-29.938,1,0.974,0.927,0.0358,0.0952,0.0494,88.033,457533,4,classique
41,0.38,0.169,3,-22.823,1,0.959,0.924,0.067,0.064,0.268,171.39,353107,1,classique
41,0.297,0.102,7,-23.43,1,0.986,0.928,0.0364,0.0498,0.042,102.533,1147000,4,classique
40,0.251,0.262,0,-16.038,1,0.952,0.0342,0.0325,0.235,0.159,104.248,560653,4,classique
43,0.285,0.0901,7,-23.427,0,0.989,0.893,0.039,0.0831,0.22,123.104,375560,4,classique
40,0.322,0.081,5,-21.037,1,0.946,0.0166,0.0455,0.221,0.162,113.691,454000,4,classique
40,0.316,0.0659,0,-22.673,1,0.974,0.623,0.0408,0.143,0.117,85.008,919013,4,classique
40,0.267,0.0124,5,-24.251,1,0.907,0.816,0.0526,0.209,0.1,82.986,156000,4,classique
39,0.232,0.00893,8,-30.635,1,0.985,0.877,0.04,0.0942,0.0611,69.203,686732,4,classique
39,0.164,0.0413,8,-28.678,1,0.969,0.697,0.047,0.126,0.039,96.169,332560,3,classique
39,0.248,0.138,0,-18.74,0,0.974,0.862,0.0417,0.0903,0.0909,68.575,960293,4,classique
38,0.438,0.188,5,-15.377,1,0.962,0.479,0.0496,0.108,0.426,160.298,197733,3,classique
39,0.278,0.0183,0,-26.45,1,0.965,0.0832,0.045,0.102,0.0829,104.058,466133,3,classique
39,0.0932,0.0294,0,-22.708,1,0.823,0.365,0.0497,0.0655,0.0456,80.941,955575,4,classique
39,0.312,0.148,0,-22.944,0,0.978,0.876,0.053,0.0645,0.0637,75.254,616627,4,classique
40,0.23,0.0432,4,-25.351,1,0.937,0.828,0.0517,0.316,0.0921,122.433,412373,3,classique
41,0.278,0.0793,8,-20.726,1,0.935,0.541,0.0415,0.254,0.214,81.946,309467,4,classique
41,0.337,0.00585,5,-39.488,1,0.993,0.962,0.0451,0.064,0.175,66.765,307547,4,classique
38,0.386,0.0461,6,-23.78,1,0.993,0.916,0.042,0.168,0.127,134.839,416533,4,classique
38,0.354,0.148,10,-21.075,1,0.991,0.925,0.044,0.0984,0.356,175.001,363000,3,classique
37,0.436,0.0657,3,-24.005,1,0.942,0.726,0.0461,0.131,0.482,101.803,181745,4,classique
34,0.24,0.103,5,-23.251,0,0.987,0.92,0.0453,0.0763,0.0509,174.645,576067,3,classique
32,0.301,0.0908,5,-20.281,1,0.842,0.443,0.0408,0.0857,0.148,139.81,695760,4,classique
34,0.405,0.167,8,-19.389,1,0.971,0.887,0.0387,0.0776,0.532,132.601,265027,4,classique
35,0.366,0.303,0,-16.452,1,0.846,0.671,0.0417,0.0729,0.347,105.119,759920,4,classique
34,0.423,0.344,5,-13.491,1,0.948,0.0899,0.0457,0.115,0.329,117.941,485367,4,classique
44,0.539,0.0141,1,-30.148,1,0.996,0.924,0.0538,0.118,0.34,67.69,132933,4,classique
31,0.483,0.0831,5,-19.421,1,0.941,0.106,0.0472,0.302,0.387,114.17,408240,4,classique
32,0.409,0.0943,10,-23.446,1,0.978,0.767,0.0918,0.679,0.369,74.836,120014,4,classique
33,0.23,0.0314,10,-23.562,1,0.981,0.828,0.0334,0.149,0.15,78.174,332760,4,classique
25,0.33,0.149,2,-15.996,1,0.966,0.832,0.0333,0.043,0.17,93.934,695893,4,classique
31,0.315,0.00224,4,-27.831,0,0.984,0.897,0.0478,0.0874,0.0682,85.531,321254,4,classique
32,0.404,0.0538,10,-24.211,1,0.984,0.897,0.0355,0.0902,0.326,97.864,687427,4,classique
31,0.237,0.0632,4,-23.899,1,0.988,0.866,0.0399,0.107,0.0739,72.241,361240,4,classique
40,0.426,0.265,2,-17.336,0,0.98,0.849,0.048,0.0848,0.39,131.955,856053,4,classique
31,0.302,0.125,5,-22.764,1,0.989,0.91,0.045,0.129,0.27,145.129,406147,3,classique
30,0.403,0.0831,0,-26.102,1,0.992,0.89,0.0422,0.0577,0.137,110.409,374999,3,classique
39,0.15,0.0161,5,-31.162,1,0.979,0.858,0.0411,0.0932,0.066,138.084,761360,3,classique
31,0.335,0.151,10,-21.886,1,0.984,0.891,0.0418,0.13,0.0989,110.119,684307,4,classique
26,0.269,0.0653,2,-22.217,1,0.876,0.0308,0.0439,0.134,0.0834,105.847,1527680,4,classique
32,0.37,0.047,9,-29.478,1,0.995,0.912,0.035,0.105,0.275,83.661,214240,4,classique
27,0.422,0.0696,2,-20.284,1,0.925,0.287,0.0461,0.108,0.235,128.71,620267,1,classique
43,0.216,0.0222,4,-24.26,0,0.97,0.735,0.042,0.0675,0.0428,142.996,492093,4,classique
31,0.338,0.0981,0,-27.778,0,0.985,0.93,0.0412,0.127,0.0375,148.993,197120,4,classique
30,0.364,0.137,3,-18.938,1,0.953,0.796,0.0494,0.071,0.448,166.751,521987,3,classique
32,0.319,0.12,0,-23.465,0,0.984,0.939,0.0402,0.114,0.254,103.786,265640,4,classique
35,0.321,0.187,2,-19.558,1,0.918,0.66,0.0455,0.266,0.305,78.314,373280,4,classique
30,0.516,0.11,9,-22.754,1,0.953,0.156,0.0388,0.0478,0.345,93.025,386707,4,classique
31,0.096,0.0609,2,-23.304,1,0.985,0.429,0.0364,0.0967,0.0359,76.734,596107,3,classique
42,0.356,0.0566,5,-20.647,1,0.978,0.186,0.0437,0.0616,0.205,147.17,580827,4,classique
31,0.367,0.0824,7,-23.709,1,0.991,0.0184,0.0445,0.0786,0.156,127.819,329827,4,classique
