popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
65,0.299,0.00626,9,-30.923,1,0.994,0.901,0.0478,0.0823,0.0634,69.043,378733,4,classique
47,0.118,0.00916,5,-32.966,1,0.992,0.896,0.0513,0.0582,0.0539,87.589,148000,5,classique
39,0.171,0.131,7,-20.767,1,0.953,0.859,0.0406,0.15,0.0447,95.043,454840,3,classique
40,0.365,0.0407,9,-25.818,0,0.99,0.926,0.0425,0.0766,0.366,103.865,327240,3,classique
38,0.18,0.0582,8,-24.389,1,0.96,0.926,0.041,0.173,0.0716,133.056,292613,5,classique
36,0.427,0.255,3,-20.829,1,0.989,0.633,0.0417,0.12,0.212,99.113,370200,4,classique
63,0.287,0.00703,8,-41.696,0,0.995,0.909,0.0518,0.0997,0.693,124.244,52200,3,classique
36,0.131,0.0522,9,-19.62,0,0.988,0.905,0.0441,0.0844,0.0626,67.73,459213,4,classique
59,0.32,0.127,7,-15.953,0,0.929,0.813,0.0366,0.25,0.272,144.451,135773,3,classique
35,0.217,0.0581,0,-22.465,1,0.984,0.861,0.0437,0.0998,0.0397,130.499,817827,4,classique
41,0.375,0.0367,8,-27.307,1,0.993,0.923,0.0467,0.115,0.0752,69.241,98600,1,classique
36,0.308,0.0158,10,-25.032,1,0.989,0.849,0.0355,0.109,0.156,75.649,128293,3,classique
34,0.269,0.219,7,-18.219,0,0.871,0.627,0.0358,0.0784,0.488,113.777,196520,4,classique
30,0.388,0.248,2,-14.121,0,0.972,0.905,0.0297,0.408,0.13,104.427,553227,3,classique
32,0.289,0.21,9,-15.039,0,0.919,0.603,0.0414,0.111,0.284,86.038,519400,4,classique
31,0.311,0.00295,11,-32.412,1,0.996,0.929,0.0383,0.0859,0.0571,70.995,567533,3,classique
30,0.179,0.0421,5,-25.49,1,0.949,0.832,0.0468,0.1,0.0314,66.331,684027,4,classique
29,0.406,0.0925,6,-20.736,0,0.989,0.886,0.0375,0.104,0.126,92.409,310000,1,classique
28,0.389,0.00643,11,-31.049,0,0.992,0.898,0.0433,0.0725,0.0777,67.828,235573,4,classique
28,0.314,0.107,9,-17.808,0,0.987,0.832,0.0388,0.0985,0.294,103.831,261173,4,classique
28,0.118,0.0264,9,-29.306,1,0.976,0.667,0.0446,0.0908,0.0383,94.014,314280,4,classique
28,0.179,0.0668,4,-20.603,0,0.972,0.895,0.0384,0.345,0.0593,71.384,767000,4,classique
28,0.232,0.109,0,-18.934,1,0.969,0.896,0.0354,0.107,0.0758,83.485,518853,4,classique
28,0.309,0.21,2,-16.593,1,0.908,0.0729,0.0455,0.392,0.352,83.914,510000,4,classique
27,0.266,0.0637,9,-25.478,0,0.989,0.917,0.0454,0.0757,0.106,64.481,813000,4,classique
