popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
73,0.868,0.795,11,-6.044,1,0.0012,0.0193,0.269,0.0461,0.819,166.0,156945,4,rap
81,0.935,0.454,1,-7.509,1,0.0194,0.0,0.375,0.0824,0.357,133.073,187541,4,rap
74,0.926,0.703,11,-6.337,0,0.0659,0.0,0.103,0.231,0.485,125.022,223713,4,rap
74,0.95,0.59,8,-6.508,0,0.00534,0.0,0.29,0.11,0.219,130.003,183527,4,rap
70,0.82,0.568,6,-8.23,0,0.0256,0.0,0.411,0.0952,0.535,152.279,210787,4,rap
76,0.747,0.57,1,-6.711,1,0.0642,0.0,0.081,0.0832,0.65,133.992,200890,4,rap
78,0.842,0.801,8,-4.167,0,0.157,4.82e-06,0.228,0.0642,0.617,95.881,212500,4,rap
61,0.968,0.589,11,-7.808,1,0.0511,0.0,0.255,0.0731,0.268,129.993,262308,4,rap
67,0.908,0.524,1,-7.955,1,0.00111,0.000678,0.181,0.383,0.109,138.015,224285,4,rap
60,0.806,0.57,1,-6.927,1,0.0977,0.0,0.246,0.105,0.454,93.015,231453,4,rap
80,0.816,0.726,5,-3.998,0,0.099,0.0,0.129,0.372,0.65,136.048,253390,4,rap
56,0.884,0.814,7,-5.333,1,0.154,1.67e-06,0.303,0.158,0.907,155.938,181624,4,rap
50,0.839,0.749,11,-6.345,0,0.465,0.00202,0.167,0.0917,0.442,94.972,185710,4,rap
67,0.767,0.543,1,-7.881,0,0.049,0.0,0.103,0.115,0.485,106.029,177140,4,rap
56,0.947,0.788,10,-6.138,0,0.107,0.000691,0.124,0.108,0.454,129.977,229005,4,rap
56,0.62,0.625,9,-7.438,1,0.287,0.0,0.553,0.314,0.665,167.911,284856,4,rap
72,0.837,0.549,0,-5.722,1,0.17,0.0,0.167,0.057,0.209,121.954,188524,4,rap
72,0.838,0.771,1,-3.791,1,0.0117,0.0,0.244,0.0853,0.405,175.957,245387,4,rap
68,0.886,0.473,7,-7.338,0,0.27,2.58e-05,0.255,0.0864,0.438,135.065,200205,4,rap
73,0.904,0.518,2,-5.32,1,0.0305,0.0,0.183,0.325,0.188,137.996,303077,4,rap
58,0.791,0.504,10,-7.864,1,0.0183,0.0,0.266,0.0963,0.355,159.949,230953,4,rap
75,0.704,0.859,5,-4.877,0,0.0185,0.0,0.0996,0.0215,0.926,105.115,217289,4,rap
50,0.838,0.637,2,-4.708,1,0.159,0.0,0.22,0.0704,0.352,116.077,233793,4,rap
66,0.574,0.734,1,-2.697,1,0.241,0.00806,0.0728,0.0962,0.769,98.023,255507,4,rap
49,0.948,0.5,2,-6.295,1,0.0161,0.0,0.235,0.109,0.235,133.056,219227,4,rap
44,0.782,0.539,2,-8.665,1,0.0383,3.5e-06,0.407,0.3,0.652,130.337,168150,4,rap
46,0.875,0.64,1,-8.622,0,0.0351,4.01e-06,0.175,0.11,0.139,119.105,129045,4,rap
46,0.789,0.624,4,-7.425,1,0.0161,3.35e-05,0.137,0.307,0.56,147.99,166217,4,rap
47,0.862,0.685,9,-6.281,1,0.384,0.000146,0.352,0.0909,0.43,161.085,202919,4,rap
46,0.835,0.783,2,-6.854,1,0.00893,0.0,0.092,0.157,0.65,137.969,144348,4,rap
45,0.808,0.593,5,-5.063,0,0.134,0.0,0.247,0.124,0.239,88.057,142456,4,rap
44,0.562,0.637,2,-9.655,1,0.0767,0.0,0.386,0.616,0.645,111.814,200229,5,rap
43,0.863,0.491,1,-8.51,1,0.152,0.0,0.259,0.133,0.37,132.968,173793,4,rap
46,0.703,0.594,7,-6.996,1,0.0158,1.93e-05,0.268,0.0802,0.451,123.234,157613,5,rap
38,0.827,0.64,8,-6.471,1,0.211,0.0,0.245,0.106,0.521,150.043,233833,4,rap
44,0.785,0.548,2,-8.254,1,0.0778,0.0,0.283,0.368,0.375,107.844,144483,4,rap
43,0.788,0.673,8,-8.203,0,0.0044,0.0226,0.0502,0.108,0.419,120.972,214185,4,rap
43,0.894,0.362,2,-11.381,1,0.117,0.0,0.465,0.0737,0.26,139.953,181290,4,rap
40,0.621,0.58,1,-6.891,1,0.272,0.0,0.199,0.137,0.345,144.974,224545,4,rap
42,0.718,0.715,7,-3.449,1,0.782,6.48e-06,0.33,0.14,0.616,89.088,172584,4,rap
70,0.82,0.568,6,-8.23,0,0.0256,0.0,0.411,0.0952,0.535,152.279,210787,4,rap
74,0.926,0.703,11,-6.337,0,0.0659,0.0,0.103,0.231,0.485,125.022,223713,4,rap
67,0.908,0.524,1,-7.955,1,0.00111,0.000678,0.181,0.383,0.109,138.015,224285,4,rap
