popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
67,0.632,0.92,2,-4.976,1,0.119,0.508,0.0531,0.114,0.363,127.001,290493,4,electro
62,0.636,0.849,2,-7.18,1,0.00253,0.827,0.042,0.173,0.487,127.979,240900,4,electro
61,0.751,0.897,1,-3.598,1,0.00957,2.88e-05,0.0468,0.329,0.482,119.97,260697,4,electro
56,0.62,0.558,7,-11.422,1,0.171,0.916,0.0407,0.157,0.539,171.827,253160,4,electro
65,0.745,0.714,7,-3.681,1,0.0141,0.0222,0.0751,0.363,0.365,104.003,393813,4,electro
58,0.252,0.872,8,-3.752,1,0.00912,8.79e-06,0.0777,0.109,0.399,126.938,236360,4,electro
54,0.607,0.593,7,-9.291,1,0.102,0.32,0.0259,0.183,0.207,124.014,354603,4,electro
56,0.606,0.977,1,-3.642,1,0.0206,0.5,0.06,0.179,0.809,109.41,294027,4,electro
55,0.721,0.867,6,-6.209,0,0.048,0.125,0.0528,0.0828,0.917,125.005,316680,4,electro
56,0.863,0.736,0,-6.888,1,0.0421,5.03e-05,0.0439,0.0968,0.739,124.013,220227,4,electro
53,0.492,0.956,5,-4.186,1,0.00892,0.872,0.0472,0.288,0.36,126.968,387173,4,electro
49,0.642,0.83,2,-5.903,1,0.263,0.0032,0.0336,0.0839,0.551,135.982,287440,4,electro
49,0.516,0.574,4,-9.8,1,0.581,0.575,0.028,0.185,0.274,136.992,287227,4,electro
51,0.626,0.848,2,-8.691,1,0.0123,0.798,0.0431,0.695,0.611,108.012,332788,4,electro
48,0.384,0.99,7,-3.826,1,0.00474,0.036,0.0601,0.363,0.663,193.93,247989,4,electro
47,0.369,0.818,1,-7.255,0,0.117,0.654,0.0571,0.125,0.115,126.011,190107,4,electro
52,0.867,0.714,4,-5.144,1,0.0224,0.704,0.0662,0.104,0.623,123.974,332973,4,electro
49,0.551,0.933,10,-4.361,0,0.000622,0.086,0.0333,0.0851,0.417,131.964,439760,4,electro
45,0.705,0.761,11,-6.85,0,0.194,0.845,0.0318,0.15,0.826,132.975,360147,4,electro
48,0.554,0.81,9,-5.079,1,0.0725,0.369,0.0382,0.148,0.21,128.023,365933,4,electro
49,0.492,0.773,2,-5.845,0,0.0022,0.835,0.0369,0.305,0.197,123.974,365080,4,electro
47,0.593,0.936,8,-8.163,0,0.00283,0.862,0.0374,0.178,0.0922,134.963,256040,4,electro
42,0.717,0.949,6,-12.87,1,0.0499,0.916,0.051,0.141,0.275,122.023,85600,4,electro
45,0.297,0.879,0,-3.965,1,0.00621,0.355,0.053,0.166,0.294,117.412,466280,4,electro
45,0.776,0.362,8,-6.793,1,0.0161,0.05,0.065,0.119,0.339,118.965,340787,4,electro
46,0.721,0.579,0,-5.347,1,0.0018,0.115,0.0498,0.144,0.583,132.105,421547,4,electro
43,0.685,0.969,2,-4.426,1,0.00177,0.294,0.106,0.0385,0.286,91.992,215907,4,electro
42,0.841,0.531,10,-4.874,0,0.0767,0.891,0.0691,0.108,0.308,133.994,289520,4,electro
43,0.723,0.882,6,-4.665,0,7.8e-05,0.618,0.107,0.382,0.491,120.027,207893,4,electro
45,0.446,0.995,6,-1.169,1,0.000738,0.13,0.223,0.354,0.248,135.041,328733,4,electro
43,0.801,0.857,6,-5.775,0,0.076,0.00458,0.0604,0.0847,0.633,125.966,280400,4,electro
40,0.458,0.56,2,-8.942,1,0.00292,0.00144,0.0288,0.136,0.092,79.99,316200,4,electro
42,0.31,0.561,9,-8.313,1,0.384,0.0221,0.0455,0.112,0.142,134.325,386798,4,electro
41,0.607,0.71,2,-5.633,1,0.0143,0.875,0.0338,0.113,0.641,140.977,443227,4,electro
43,0.688,0.927,0,-6.083,1,0.0296,0.238,0.0617,0.346,0.212,129.947,336000,4,electro
38,0.62,0.868,7,-5.581,1,0.00576,0.848,0.0421,0.0607,0.765,176.979,186640,4,electro
39,0.692,0.843,1,-4.799,1,0.00375,0.704,0.0427,0.555,0.905,109.913,232707,4,electro
40,0.564,0.631,11,-6.942,1,0.207,0.249,0.0327,0.121,0.374,141.965,394149,4,electro
40,0.524,0.962,10,-7.512,0,1.46e-05,0.772,0.0377,0.483,0.469,120.971,317400,4,electro
40,0.63,0.771,1,-7.642,1,0.00975,0.304,0.0418,0.433,0.446,125.02,261267,4,electro
40,0.761,0.814,9,-3.616,1,0.00209,0.544,0.0562,0.171,0.563,124.021,283947,4,electro
39,0.685,0.979,1,-4.768,1,0.021,0.76,0.0544,0.0697,0.322,109.955,297587,4,electro
41,0.675,0.977,8,-6.354,0,0.0396,0.88,0.0692,0.297,0.81,120.871,290333,4,electro
42,0.575,0.838,10,-5.104,1,0.0329,0.614,0.03,0.643,0.238,139.941,716986,4,electro
43,0.472,0.691,2,-6.58,1,0.552,0.554,0.043,0.138,0.516,101.61,416867,4,electro
36,0.751,0.615,9,-6.278,1,0.09,0.0241,0.0322,0.126,0.565,120.978,350436,4,electro
39,0.671,0.823,10,-6.204,1,0.00781,0.0535,0.0571,0.147,0.45,119.984,311977,4,electro
39,0.636,0.898,9,-6.279,1,0.00413,0.5,0.0941,0.191,0.439,133.968,376173,3,electro
41,0.289,0.856,2,-4.619,1,0.00188,0.72,0.166,0.499,0.608,167.377,498672,5,electro
35,0.502,0.955,9,-4.2,0,0.000125,0.848,0.0454,0.396,0.634,131.984,215480,4,electro
