popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
69,0.225,0.0047,1,-30.928,0,0.992,0.881,0.0509,0.0722,0.186,163.665,259493,4,classique
46,0.283,0.0521,1,-25.091,1,0.993,0.892,0.0394,0.105,0.0561,70.338,336093,3,classique
54,0.258,0.00795,9,-33.708,1,0.978,0.924,0.0398,0.12,0.046,80.806,295467,4,classique
54,0.359,0.0323,1,-24.408,1,0.989,0.91,0.0377,0.0938,0.0728,107.169,338253,4,classique
52,0.228,0.143,0,-21.903,0,0.983,0.934,0.0405,0.0766,0.134,75.522,567053,4,classique
51,0.19,0.078,8,-27.611,1,0.988,0.927,0.0364,0.105,0.151,74.197,251418,4,classique
51,0.295,0.0225,1,-30.914,1,0.982,0.889,0.0448,0.192,0.0397,67.228,267907,4,classique
61,0.334,0.00732,4,-30.908,0,0.991,0.952,0.0355,0.0968,0.0964,60.171,241987,4,classique
50,0.283,0.125,5,-18.333,0,0.988,0.883,0.0354,0.0909,0.0568,107.096,864320,4,classique
63,0.376,0.0164,9,-25.933,0,0.991,0.866,0.0475,0.116,0.0364,108.821,131200,4,classique
51,0.401,0.0127,1,-23.075,1,0.995,0.906,0.0586,0.0859,0.0691,130.857,379667,4,classique
48,0.308,0.13,5,-22.12,0,0.987,0.927,0.0337,0.105,0.147,101.615,515840,3,classique
65,0.261,0.0149,1,-27.528,1,0.992,0.897,0.0419,0.102,0.0382,75.296,286987,4,classique
48,0.308,0.0563,0,-21.752,1,0.993,0.893,0.0385,0.0507,0.0377,136.44,317084,3,classique
52,0.223,0.0534,1,-23.884,1,0.989,0.925,0.04,0.0841,0.063,64.855,490920,4,classique
46,0.304,0.0355,9,-27.201,1,0.994,0.908,0.0471,0.145,0.0485,63.268,268907,3,classique
45,0.439,0.00609,2,-29.005,0,0.995,0.896,0.0566,0.0575,0.0638,128.807,250733,1,classique
45,0.262,0.109,1,-20.732,1,0.992,0.912,0.0441,0.0945,0.0778,72.983,475720,3,classique
46,0.37,0.213,6,-21.262,0,0.989,0.884,0.0299,0.148,0.375,87.318,121013,4,classique
44,0.302,0.0321,8,-27.759,1,0.995,0.843,0.0578,0.105,0.0393,72.317,188333,4,classique
53,0.447,0.0159,2,-25.612,0,0.995,0.933,0.063,0.195,0.107,131.542,236467,4,classique
44,0.37,0.0454,1,-23.313,1,0.994,0.944,0.0427,0.0817,0.11,57.095,424043,4,classique
48,0.209,0.00759,3,-30.225,1,0.991,0.949,0.0502,0.116,0.0593,65.385,366320,4,classique
37,0.37,0.065,8,-22.608,1,0.988,0.912,0.0421,0.162,0.0831,130.563,469613,4,classique
46,0.316,0.0349,4,-20.164,1,0.985,0.814,0.0625,0.133,0.0362,78.458,88467,4,classique
44,0.205,0.0691,11,-25.879,0,0.993,0.899,0.0358,0.0933,0.0727,61.278,792000,3,classique
49,0.232,0.0117,7,-33.034,1,0.976,0.918,0.0395,0.0784,0.0739,168.106,286293,5,classique
43,0.0849,0.00841,10,-30.673,1,0.979,0.792,0.0415,0.0994,0.0528,170.609,217320,4,classique
42,0.502,0.0969,9,-24.139,1,0.988,0.852,0.0314,0.156,0.387,95.883,149973,4,classique
44,0.367,0.0613,11,-24.594,0,0.993,0.913,0.0387,0.0674,0.0554,65.927,498267,4,classique
44,0.273,0.171,1,-15.863,1,0.992,0.881,0.044,0.0929,0.0373,72.746,727280,4,classique
45,0.365,0.0792,3,-27.054,1,0.976,0.897,0.0296,0.208,0.31,96.626,78467,3,classique
42,0.291,0.132,4,-18.905,0,0.985,0.901,0.0374,0.135,0.0575,131.349,1202587,3,classique
44,0.385,0.00189,1,-28.565,1,0.993,0.919,0.0487,0.0955,0.153,93.131,597960,4,classique
42,0.309,0.03,7,-30.106,1,0.995,0.904,0.0499,0.0776,0.038,66.479,344667,5,classique
49,0.328,0.0164,11,-32.148,0,0.993,0.974,0.0405,0.119,0.301,154.817,238907,4,classique
46,0.184,0.0507,1,-26.721,1,0.989,0.928,0.0474,0.0444,0.0366,50.917,626533,4,classique
48,0.347,0.0169,8,-29.461,1,0.995,0.895,0.0379,0.0859,0.116,68.711,268160,3,classique
45,0.307,0.0145,1,-31.335,0,0.993,0.831,0.035,0.162,0.102,69.003,220160,3,classique
41,0.307,0.0275,1,-21.807,1,0.993,0.901,0.0393,0.187,0.0388,163.404,297944,3,classique
41,0.671,0.00452,8,-26.578,1,0.996,0.957,0.926,0.0959,0.227,79.991,112947,4,classique
42,0.382,0.0847,1,-21.505,1,0.988,0.897,0.0421,0.103,0.0638,131.392,587053,4,classique
