popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
56,0.7,0.68,9,-10.386,0,0.00121,0.794,0.0273,0.31,0.334,119.038,158790,4,electro
83,0.794,0.811,6,-8.966,0,0.0426,1.07e-06,0.038,0.101,0.862,116.047,248413,4,electro
75,0.956,0.795,7,-5.311,1,0.00356,0.889,0.15,0.0906,0.841,121.294,429533,4,electro
79,0.613,0.697,2,-8.618,1,0.0194,0.0,0.133,0.332,0.476,122.746,320357,4,electro
65,0.806,0.7,0,-5.269,0,0.00196,0.891,0.0752,0.267,0.892,111.215,328680,4,electro
78,0.775,0.585,10,-9.516,0,0.0422,0.619,0.0271,0.077,0.518,109.942,337560,4,electro
74,0.817,0.716,6,-8.898,0,0.0427,0.00263,0.144,0.358,0.692,123.474,224693,4,electro
67,0.74,0.682,9,-10.42,0,0.0692,0.53,0.0504,0.381,0.41,113.201,544627,4,electro
68,0.644,0.664,9,-8.398,1,0.048,0.867,0.0332,0.342,0.53,124.726,301373,4,electro
77,0.773,0.819,0,-5.946,0,0.426,0.0,0.118,0.0679,0.585,92.99,269187,4,electro
71,0.832,0.659,10,-7.828,0,0.0839,0.00114,0.057,0.0753,0.674,100.163,353893,4,electro
66,0.669,0.743,7,-11.488,1,0.288,0.805,0.0494,0.309,0.28,119.881,227867,4,electro
55,0.59,0.787,7,-5.766,1,6.94e-06,0.845,0.0512,0.0293,0.598,111.926,287720,4,electro
58,0.745,0.716,11,-7.918,1,0.0265,0.846,0.136,0.246,0.828,126.527,335027,4,electro
94,0.679,0.587,7,-7.015,1,0.141,6.35e-06,0.276,0.137,0.486,186.003,230453,4,electro
69,0.605,0.687,9,-13.928,0,0.479,0.949,0.045,0.104,0.12,106.896,345187,4,electro
62,0.29,0.412,6,-12.659,0,0.477,0.0839,0.0458,0.079,0.12,90.539,498960,4,electro
72,0.875,0.475,9,-12.673,0,0.44,0.72,0.0986,0.046,0.384,99.958,232667,4,electro
61,0.702,0.297,10,-14.116,0,0.894,0.485,0.0317,0.103,0.0676,110.116,228507,4,electro
47,0.697,0.548,1,-9.087,1,0.783,0.841,0.0561,0.132,0.977,133.005,289680,4,electro
63,0.807,0.51,0,-9.729,1,0.041,0.115,0.0433,0.104,0.961,130.118,279773,4,electro
53,0.568,0.928,11,-6.071,0,0.413,0.572,0.0733,0.111,0.181,122.892,370987,4,electro
47,0.856,0.521,4,-8.061,0,0.000379,0.911,0.0573,0.103,0.778,124.986,471453,4,electro
54,0.812,0.516,9,-6.963,1,0.000369,1.09e-05,0.224,0.0991,0.633,127.498,284280,4,electro
51,0.822,0.791,1,-4.87,1,0.00108,0.621,0.0414,0.0567,0.21,130.059,448627,4,electro
58,0.653,0.869,8,-9.393,1,0.00435,0.413,0.217,0.334,0.515,125.207,201800,4,electro
48,0.846,0.832,1,-5.486,1,0.0886,0.2,0.42,0.0737,0.78,126.132,240533,4,electro
58,0.54,0.635,1,-10.071,1,0.00166,0.788,0.0519,0.209,0.126,119.995,104120,4,electro
49,0.87,0.875,6,-8.501,0,0.192,0.357,0.205,0.0804,0.715,124.298,414173,4,electro
63,0.804,0.451,6,-8.207,1,0.388,2.17e-05,0.0949,0.0924,0.19,178.061,251293,4,electro
43,0.503,0.507,9,-7.243,1,4.51e-05,0.514,0.181,0.288,0.0987,128.606,263240,4,electro
65,0.874,0.437,1,-10.235,0,0.00134,0.0296,0.0708,0.0293,0.962,117.791,240173,4,electro
47,0.821,0.885,11,-6.996,1,0.00164,0.848,0.0811,0.0851,0.832,117.206,413600,4,electro
49,0.98,0.486,6,-7.31,1,0.03,0.823,0.251,0.0995,0.823,123.206,173493,4,electro
55,0.535,0.558,6,-10.756,1,0.00461,0.824,0.0741,0.0821,0.215,109.69,206867,4,electro
49,0.723,0.716,3,-6.407,0,5.42e-05,0.905,0.0437,0.072,0.0748,128.701,316253,4,electro
48,0.608,0.725,0,-4.367,1,0.00139,0.0546,0.342,0.0802,0.802,136.251,319880,4,electro
52,0.503,0.952,1,-9.308,1,0.268,0.272,0.572,0.875,0.174,126.345,244400,4,electro
64,0.788,0.616,9,-10.671,0,0.00286,0.549,0.0337,0.0952,0.696,119.037,275387,4,electro
56,0.692,0.582,5,-10.164,0,0.00211,0.0,0.301,0.177,0.513,127.017,600293,4,electro
57,0.543,0.775,0,-17.616,0,0.901,0.902,0.052,0.258,0.0222,106.018,95227,4,electro
61,0.712,0.5,9,-11.948,0,0.825,0.314,0.0338,0.106,0.682,90.039,322147,4,electro
44,0.592,0.829,11,-10.497,1,0.0274,0.885,0.0415,0.0817,0.0342,122.999,160627,4,electro
59,0.716,0.648,8,-11.33,0,0.367,0.485,0.0337,0.368,0.789,104.022,290240,4,electro
