popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
70,0.659,0.798,9,-6.933,0,0.175,0.000379,0.0749,0.708,0.15,126.064,240445,4,electro
70,0.667,0.956,6,-5.563,1,0.00385,0.0184,0.287,0.303,0.17,129.991,279692,4,electro
62,0.653,0.886,9,-8.237,0,0.0778,0.236,0.0685,0.126,0.0638,124.004,308710,4,electro
59,0.679,0.845,11,-6.548,0,0.207,0.114,0.0507,0.119,0.115,126.026,207262,4,electro
68,0.682,0.845,4,-6.509,0,0.00608,0.00151,0.102,0.132,0.305,122.925,203256,4,electro
59,0.598,0.885,9,-6.383,0,0.0309,0.0508,0.0373,0.211,0.254,126.031,221900,4,electro
62,0.611,0.613,8,-6.942,1,4.73e-05,0.105,0.129,0.159,0.491,127.979,328747,4,electro
57,0.736,0.759,9,-7.066,1,0.0573,0.207,0.0347,0.0778,0.485,128.039,170059,4,electro
59,0.788,0.679,9,-7.684,0,0.185,0.0486,0.0433,0.107,0.179,122.037,216231,4,electro
60,0.528,0.732,2,-9.492,1,0.0319,0.868,0.0504,0.109,0.0324,199.978,292525,4,electro
57,0.544,0.746,6,-4.877,0,0.00153,0.00392,0.043,0.135,0.224,128.043,214671,4,electro
58,0.795,0.642,1,-7.094,1,0.000472,0.0522,0.0516,0.226,0.446,127.986,329531,4,electro
57,0.713,0.77,10,-6.173,0,0.00285,0.461,0.0417,0.597,0.0391,127.936,255000,4,electro
56,0.672,0.592,11,-7.189,0,0.158,0.00346,0.0311,0.113,0.489,127.974,283040,4,electro
49,0.583,0.753,9,-9.183,0,0.00378,0.886,0.0389,0.0976,0.0238,109.995,200727,4,electro
52,0.758,0.35,1,-14.352,1,0.007,0.268,0.0513,0.0732,0.107,99.994,289654,4,electro
57,0.819,0.827,11,-5.559,0,0.131,0.298,0.131,0.155,0.0323,126.02,270519,4,electro
54,0.656,0.662,8,-9.345,0,8.12e-05,0.886,0.0307,0.104,0.0712,128.022,212067,4,electro
49,0.621,0.876,11,-6.778,0,0.021,0.0484,0.0668,0.265,0.0491,127.979,172500,3,electro
53,0.73,0.511,1,-5.198,1,8.76e-05,0.273,0.0712,0.247,0.644,128.025,243750,4,electro
55,0.773,0.735,8,-6.964,1,0.141,0.413,0.0517,0.0833,0.146,125.02,261001,4,electro
50,0.575,0.958,2,-5.743,1,0.027,0.24,0.0617,0.311,0.154,196.007,349591,4,electro
55,0.848,0.497,11,-7.124,0,0.0201,0.297,0.0529,0.217,0.615,128.013,593600,4,electro
50,0.737,0.692,8,-9.501,0,0.293,0.886,0.0448,0.108,0.653,127.995,519020,5,electro
47,0.532,0.918,2,-6.574,0,0.0115,0.818,0.0815,0.134,0.0359,126.019,316429,4,electro
48,0.641,0.773,1,-5.251,1,0.00487,0.804,0.058,0.1,0.186,128.031,184687,4,electro
49,0.729,0.867,0,-3.745,1,0.11,0.0,0.214,0.0997,0.455,98.99,207903,4,electro
47,0.652,0.803,0,-6.314,1,0.0152,0.141,0.0279,0.898,0.0665,124.978,238080,4,electro
45,0.562,0.917,9,-6.196,0,0.00027,0.935,0.0351,0.0653,0.0681,124.006,414385,4,electro
46,0.636,0.546,11,-4.999,1,0.0221,0.00553,0.0433,0.134,0.148,92.017,191038,4,electro
44,0.8,0.736,2,-9.588,0,0.0443,0.904,0.0681,0.139,0.69,128.024,150001,4,electro
48,0.67,0.791,7,-8.211,1,0.0362,0.883,0.0464,0.101,0.0349,128.003,585000,3,electro
44,0.388,0.791,2,-5.801,1,0.0648,0.000738,0.0414,0.167,0.0681,125.778,254532,4,electro
46,0.651,0.542,0,-11.624,0,0.192,0.409,0.0451,0.12,0.0347,127.986,380012,3,electro
45,0.707,0.772,1,-8.031,1,0.117,0.0,0.366,0.214,0.688,178.102,172584,4,electro
49,0.778,0.709,5,-7.752,1,0.00424,0.00273,0.0532,0.748,0.337,128.01,401622,3,electro
39,0.683,0.429,5,-15.296,1,0.757,0.955,0.0673,0.102,0.0369,128.206,105000,4,electro
45,0.726,0.549,11,-8.444,0,0.1,0.895,0.229,0.222,0.146,98.002,315189,4,electro
45,0.903,0.648,5,-5.582,0,0.000105,0.869,0.119,0.106,0.342,128.014,297187,4,electro
51,0.507,0.699,1,-7.483,1,0.0166,0.00172,0.0814,0.112,0.0744,139.909,502909,4,electro
39,0.324,0.55,10,-11.147,0,0.105,0.931,0.0485,0.115,0.0608,159.974,244700,4,electro
43,0.754,0.926,11,-4.819,0,0.0248,3.01e-06,0.535,0.105,0.183,192.139,140991,4,electro
41,0.561,0.771,1,-5.533,1,0.0344,0.000151,0.036,0.0756,0.211,128.025,235873,4,electro
48,0.786,0.427,1,-8.015,1,6.42e-05,0.537,0.0669,0.0734,0.42,128.005,443141,4,electro
44,0.932,0.351,11,-12.612,0,0.00244,0.000666,0.399,0.79,0.505,111.002,400237,4,electro
40,0.751,0.487,10,-10.347,1,0.834,0.893,0.0274,0.112,0.235,119.977,320000,4,electro
38,0.355,0.729,6,-10.122,1,0.00168,0.816,0.0388,0.274,0.04,128.005,324500,4,electro
43,0.796,0.644,10,-8.891,0,0.00501,0.902,0.0691,0.218,0.524,128.0,360000,4,electro
42,0.663,0.877,7,-5.674,0,0.0122,0.654,0.252,0.105,0.225,128.008,422857,3,electro
40,0.528,0.715,1,-9.736,1,0.00762,0.824,0.0543,0.0673,0.107,127.997,322504,4,electro
