popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
89,0.529,0.673,0,-4.711,1,0.000307,2.41e-06,0.175,0.093,0.366,165.921,218365,4,rap
85,0.666,0.465,1,-8.545,1,0.0503,0.0,0.26,0.215,0.292,167.937,291175,4,rap
92,0.561,0.52,11,-9.342,0,0.0503,1.86e-06,0.244,0.355,0.424,153.15,239360,3,rap
82,0.841,0.358,9,-8.368,1,0.0201,0.0,0.591,0.39,0.329,158.014,261544,4,rap
87,0.463,0.642,1,-4.474,1,0.314,0.0,0.34,0.0686,0.339,83.389,189893,4,rap
72,0.568,0.76,1,-6.455,0,0.0431,1.53e-05,0.275,0.18,0.481,100.042,245241,4,rap
73,0.718,0.461,4,-7.676,0,0.068,0.0,0.0797,0.283,0.181,129.953,178176,4,rap
78,0.934,0.614,5,-7.384,1,0.00274,0.0,0.198,0.123,0.616,144.045,160821,4,rap
83,0.578,0.449,1,-6.349,1,0.0618,2.17e-06,0.286,0.119,0.1,136.006,192956,4,rap
75,0.781,0.594,0,-6.959,0,0.0136,0.0,0.0485,0.162,0.0628,129.895,178154,4,rap
79,0.908,0.546,8,-10.491,0,0.0127,0.0,0.323,0.0707,0.225,131.016,170502,4,rap
74,0.568,0.56,9,-9.059,1,0.228,3.05e-06,0.42,0.39,0.246,130.019,308756,4,rap
85,0.773,0.701,7,-6.386,1,0.01,0.0,0.0512,0.163,0.203,129.963,214589,4,rap
79,0.853,0.495,6,-14.63,1,0.0917,0.000217,0.14,0.0844,0.0774,137.027,243228,4,rap
70,0.77,0.637,1,-5.53,1,0.103,0.0,0.345,0.171,0.431,94.966,383037,4,rap
79,0.803,0.597,11,-6.035,0,0.000619,4.5e-06,0.141,0.323,0.331,136.008,257605,4,rap
77,0.423,0.667,6,-7.012,0,0.758,0.0,0.326,0.246,0.496,86.743,336511,4,rap
83,0.735,0.449,10,-7.507,1,0.629,0.0,0.347,0.113,0.0397,122.947,220488,4,rap
75,0.499,0.671,4,-6.774,0,0.114,0.0169,0.0561,0.148,0.0557,124.994,336924,3,rap
68,0.763,0.667,2,-6.285,1,0.021,2.4e-05,0.085,0.0715,0.75,95.864,260520,4,rap
78,0.767,0.438,7,-8.726,0,0.181,0.0,0.29,0.142,0.381,86.975,221980,4,rap
76,0.849,0.433,5,-8.434,0,0.0407,0.0,0.316,0.388,0.395,142.11,152962,4,rap
66,0.773,0.281,1,-9.781,1,0.24,0.0,0.11,0.112,0.465,102.019,227706,4,rap
70,0.686,0.385,7,-8.35,0,0.614,0.0,0.297,0.131,0.147,143.07,296568,4,rap
76,0.501,0.403,6,-11.106,0,0.234,0.0,0.119,0.267,0.111,118.352,399154,4,rap
72,0.613,0.615,5,-4.859,0,0.308,0.0,0.107,0.107,0.342,86.782,226220,4,rap
68,0.488,0.635,10,-7.19,1,0.179,8.16e-06,0.26,0.156,0.783,174.072,269884,4,rap
80,0.761,0.518,0,-8.871,1,0.244,3.47e-05,0.134,0.107,0.522,133.976,261493,4,rap
80,0.734,0.605,1,-8.476,1,0.0102,0.0,0.0699,0.317,0.252,103.976,236795,4,rap
74,0.84,0.744,1,-4.751,1,0.0181,0.0,0.113,0.629,0.171,83.737,204347,4,rap
71,0.833,0.498,10,-5.196,0,0.0493,0.0,0.117,0.119,0.259,139.928,153406,4,rap
75,0.8,0.56,5,-4.818,0,0.057,0.0,0.261,0.134,0.45,163.071,200221,4,rap
66,0.883,0.283,0,-12.653,1,0.104,0.00167,0.113,0.0935,0.416,122.013,157390,4,rap
73,0.695,0.343,5,-10.798,1,0.0743,1.04e-06,0.0432,0.107,0.229,85.84,218902,4,rap
82,0.749,0.63,4,-6.652,0,0.0623,0.0,0.116,0.353,0.445,122.03,242027,4,rap
70,0.701,0.741,2,-6.157,1,0.112,0.0,0.313,0.699,0.588,140.177,178623,4,rap
66,0.571,0.747,7,-4.659,1,0.478,0.0,0.17,0.116,0.635,106.253,259651,4,rap
74,0.834,0.454,1,-9.75,0,0.321,6.15e-06,0.201,0.114,0.837,81.618,247059,4,rap
78,0.676,0.609,2,-5.831,0,0.0706,0.0,0.481,0.152,0.508,142.037,237735,4,rap
72,0.73,0.576,2,-5.442,1,0.354,3.59e-05,0.287,0.15,0.155,92.131,228461,4,rap
63,0.836,0.617,0,-4.363,1,0.17,0.0,0.0534,0.319,0.866,138.066,206702,4,rap
65,0.724,0.531,5,-4.108,0,0.225,0.0,0.298,0.11,0.141,89.901,239635,4,rap
66,0.519,0.851,7,-6.001,1,0.118,0.0,0.29,0.178,0.711,123.823,213104,5,rap
69,0.865,0.53,0,-6.347,0,0.511,0.00149,0.0491,0.0946,0.203,104.948,197973,4,rap
69,0.915,0.588,7,-6.302,0,0.0824,0.000169,0.0677,0.104,0.329,123.936,218710,4,rap
79,0.831,0.502,10,-4.045,0,0.101,0.0,0.046,0.122,0.101,100.541,205427,4,rap
