popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
63,0.481,0.993,5,-0.77,1,0.000505,0.981,0.0402,0.516,0.0388,100.008,158400,4,electro
59,0.452,0.877,6,-1.412,0,0.032,0.294,0.0437,0.217,0.0738,100.014,185550,4,electro
63,0.567,0.988,1,-2.879,1,0.0232,0.0351,0.187,0.149,0.0634,100.025,232950,4,electro
55,0.242,0.756,7,-3.162,1,0.15,0.282,0.0635,0.0889,0.0393,92.821,276044,4,electro
53,0.391,0.92,10,0.357,1,0.0687,0.000266,0.123,0.356,0.0341,100.032,160942,4,electro
51,0.371,0.996,7,0.0,1,0.0075,0.00052,0.126,0.399,0.492,195.017,184615,4,electro
56,0.707,0.996,5,0.551,1,0.0267,0.0281,0.164,0.0787,0.192,100.062,206400,4,electro
55,0.572,0.985,0,-1.861,1,0.0839,0.593,0.153,0.109,0.0577,100.003,285600,4,electro
51,0.479,0.998,1,-1.378,1,0.0019,0.192,0.252,0.301,0.0584,99.98,242400,4,electro
58,0.753,0.991,9,-1.599,1,0.198,0.761,0.107,0.115,0.448,99.999,243900,4,electro
54,0.444,0.993,0,-0.882,1,0.0186,0.0388,0.122,0.376,0.0921,99.994,248400,4,electro
55,0.552,0.916,7,-2.46,1,4e-05,0.88,0.0433,0.351,0.0499,95.025,337263,4,electro
50,0.628,0.996,4,-1.54,0,0.365,0.0158,0.21,0.124,0.105,99.999,219600,4,electro
49,0.579,0.99,11,-0.435,0,0.000182,0.103,0.0864,0.331,0.0789,99.977,204000,4,electro
49,0.647,0.937,11,-0.953,1,0.328,0.0797,0.0723,0.483,0.258,99.99,208800,4,electro
52,0.237,0.949,0,-4.912,1,0.00121,0.401,0.322,0.0948,0.0396,200.08,208880,4,electro
49,0.476,0.971,5,-1.786,1,0.00123,0.0437,0.352,0.333,0.196,99.868,227400,4,electro
50,0.666,0.984,11,-1.941,0,0.0496,0.681,0.161,0.123,0.102,99.986,234000,4,electro
47,0.422,0.999,11,-1.782,0,0.0173,0.0253,0.518,0.338,0.0777,99.979,164112,4,electro
50,0.63,0.991,1,-2.69,1,0.00205,0.509,0.236,0.144,0.04,100.001,220803,4,electro
43,0.344,0.968,6,-2.606,0,0.00583,0.0215,0.332,0.0885,0.0794,98.421,216129,4,electro
51,0.414,0.973,7,-2.186,1,0.00864,0.741,0.262,0.166,0.315,97.418,209771,3,electro
51,0.628,0.988,3,-3.971,0,0.0779,0.169,0.101,0.286,0.396,99.978,243600,4,electro
48,0.641,0.946,1,-2.756,1,0.0611,0.0268,0.0641,0.0913,0.0351,105.056,282301,3,electro
45,0.454,0.959,7,-1.858,1,0.172,0.939,0.0512,0.652,0.0384,100.008,242098,4,electro
43,0.565,0.995,3,-1.141,0,0.147,0.113,0.22,0.106,0.234,105.004,220571,4,electro
46,0.483,0.988,1,-0.912,1,0.0437,0.000141,0.148,0.107,0.085,100.045,246500,4,electro
42,0.425,0.976,7,-0.329,0,0.0777,0.566,0.181,0.395,0.0497,99.966,212400,4,electro
43,0.582,0.999,6,-1.841,1,0.0821,0.335,0.201,0.252,0.0991,109.978,193266,4,electro
42,0.445,0.991,6,-2.39,0,4.69e-05,0.845,0.489,0.107,0.11,99.928,178800,1,electro
47,0.535,0.941,10,-3.374,0,0.268,0.718,0.0606,0.0894,0.116,97.507,283077,4,electro
47,0.646,0.98,0,-2.673,1,0.0241,0.858,0.0822,0.366,0.104,99.996,273600,4,electro
43,0.565,0.963,2,-2.821,0,0.0162,0.214,0.125,0.115,0.0712,100.039,218456,4,electro
44,0.573,0.997,1,-1.919,1,0.000841,0.853,0.214,0.192,0.0891,99.986,249600,4,electro
49,0.395,0.956,4,-2.766,0,0.00469,0.0427,0.0605,0.389,0.0359,119.932,305000,4,electro
44,0.439,0.998,2,-0.537,0,0.418,0.00511,0.541,0.367,0.0382,100.027,298855,4,electro
44,0.736,0.997,9,0.899,1,0.00467,0.564,0.124,0.0705,0.394,99.975,110400,4,electro
40,0.517,0.991,10,-0.898,0,0.00768,0.0685,0.196,0.371,0.214,99.995,242193,4,electro
43,0.635,0.961,8,-3.534,1,0.431,0.508,0.0652,0.198,0.149,100.018,220260,1,electro
44,0.601,0.995,10,-0.33,0,0.0148,0.00382,0.146,0.0845,0.201,99.965,254400,4,electro
40,0.211,0.989,11,-0.14,1,0.0077,0.000435,0.295,0.0771,0.039,93.909,252700,4,electro
43,0.572,0.898,6,-4.927,0,0.00139,0.0776,0.0753,0.109,0.0836,150.06,259200,4,electro
43,0.644,0.984,1,-1.009,1,0.18,1.79e-06,0.138,0.227,0.319,97.458,214154,4,electro
41,0.664,0.96,6,-0.592,1,0.013,0.00111,0.102,0.113,0.275,105.021,253714,4,electro
42,0.645,0.959,7,-2.928,1,0.0832,0.554,0.0526,0.139,0.0261,102.516,318439,4,electro
43,0.428,0.997,2,-3.396,1,0.000458,0.0609,0.104,0.75,0.233,159.919,277501,4,electro
41,0.748,0.976,10,-1.565,0,0.0175,0.454,0.142,0.117,0.522,99.977,182400,4,electro
40,0.392,0.974,1,-2.823,1,0.00622,0.0365,0.11,0.0969,0.0554,94.968,273000,4,electro
39,0.519,0.991,6,-1.251,0,0.00109,0.538,0.0521,0.694,0.209,99.992,310582,4,electro
39,0.691,0.946,1,-2.671,1,0.00885,0.0579,0.288,0.106,0.0772,101.469,251004,4,electro
