popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
78,0.861,0.656,4,-7.867,0,0.104,0.0,0.425,0.0986,0.331,88.967,218210,4,rap
76,0.725,0.713,4,-6.173,0,0.127,0.0,0.187,0.617,0.207,65.988,148421,4,rap
64,0.61,0.569,10,-9.447,0,0.0398,0.0,0.345,0.337,0.287,81.409,304640,4,rap
84,0.837,0.364,8,-11.713,1,0.149,0.0,0.276,0.271,0.463,123.984,213594,4,rap
66,0.784,0.473,8,-6.139,1,0.33,0.0,0.0523,0.278,0.635,128.014,204434,4,rap
70,0.823,0.783,0,-6.274,1,0.21,0.0,0.154,0.113,0.199,141.882,191437,4,rap
68,0.586,0.512,8,-8.819,0,0.723,0.0002,0.0668,0.119,0.235,75.857,235480,4,rap
81,0.597,0.587,7,-7.026,0,0.0622,0.0,0.137,0.214,0.0753,140.021,218802,4,rap
91,0.69,0.521,10,-8.492,0,0.324,0.0,0.339,0.0534,0.494,100.028,292799,4,rap
71,0.77,0.574,1,-5.525,1,0.0617,0.0,0.106,0.104,0.104,98.962,133022,3,rap
76,0.898,0.283,6,-12.335,0,0.319,0.000383,0.356,0.11,0.469,138.97,216520,4,rap
66,0.869,0.385,4,-7.801,1,0.135,0.0,0.297,0.0931,0.596,149.897,133922,4,rap
75,0.889,0.4,4,-10.586,0,0.322,1.32e-05,0.26,0.331,0.336,128.073,301064,4,rap
86,0.495,0.722,6,-8.108,0,0.0697,0.0,0.357,0.113,0.539,175.627,239267,4,rap
63,0.732,0.663,6,-7.616,0,0.0819,0.0,0.192,0.115,0.227,139.964,210587,4,rap
79,0.667,0.608,1,-7.054,1,0.324,0.000198,0.216,0.426,0.475,99.992,241160,4,rap
70,0.771,0.536,11,-8.534,1,0.553,1.05e-06,0.323,0.294,0.343,94.995,269721,4,rap
66,0.772,0.498,8,-7.661,1,0.115,0.0,0.649,0.0898,0.351,81.817,216727,4,rap
73,0.802,0.544,5,-9.212,1,0.605,0.0,0.0686,0.102,0.57,133.992,292865,4,rap
77,0.829,0.527,6,-6.644,0,0.482,0.0,0.367,0.631,0.475,116.079,200310,4,rap
61,0.678,0.567,10,-9.148,0,0.188,1.67e-06,0.261,0.164,0.658,84.039,315771,4,rap
71,0.768,0.62,2,-7.399,1,0.139,0.0,0.0658,0.521,0.589,132.035,225960,4,rap
74,0.657,0.421,9,-11.378,1,0.352,0.000218,0.412,0.187,0.181,174.063,264747,4,rap
83,0.831,0.427,2,-6.903,1,0.0531,0.0,0.106,0.307,0.216,93.004,235320,4,rap
72,0.606,0.784,7,-6.293,1,0.435,0.0,0.268,0.689,0.48,80.985,278573,4,rap
63,0.691,0.487,1,-6.416,1,0.0299,0.0,0.268,0.0868,0.358,104.98,218954,3,rap
81,0.766,0.74,1,-10.363,1,0.0193,0.0784,0.0807,0.229,0.183,118.008,296520,4,rap
69,0.793,0.498,8,-11.208,0,0.0974,1.26e-05,0.17,0.13,0.427,119.988,190653,4,rap
69,0.84,0.504,1,-9.354,1,0.546,0.00131,0.383,0.211,0.406,110.027,268667,4,rap
69,0.44,0.671,3,-10.598,0,0.764,0.0,0.477,0.212,0.479,83.078,234387,4,rap
66,0.679,0.648,2,-5.892,1,0.145,0.0,0.445,0.182,0.635,94.378,190177,4,rap
79,0.677,0.638,8,-8.631,1,0.589,0.0,0.333,0.193,0.435,82.81,211497,4,rap
65,0.586,0.717,8,-8.546,0,0.472,0.00239,0.196,0.104,0.306,125.014,276093,4,rap
67,0.744,0.43,3,-10.604,0,0.455,2.73e-06,0.309,0.126,0.266,92.039,201667,4,rap
64,0.813,0.563,7,-7.083,1,0.0293,0.0,0.269,0.125,0.761,83.009,208160,4,rap
67,0.774,0.729,2,-7.806,1,0.228,0.0,0.293,0.257,0.475,104.009,254453,4,rap
64,0.779,0.694,9,-9.376,1,0.281,1.36e-05,0.2,0.109,0.569,82.861,161827,4,rap
69,0.74,0.523,11,-10.753,0,0.666,0.00142,0.233,0.0968,0.235,97.063,331480,4,rap
71,0.688,0.556,6,-7.738,1,0.7,1.87e-06,0.264,0.108,0.416,129.336,240320,4,rap
62,0.87,0.446,1,-9.818,1,0.449,0.0,0.424,0.16,0.684,95.518,251309,4,rap
62,0.727,0.781,5,-8.614,1,0.103,0.0,0.29,0.0537,0.682,81.076,263720,4,rap
63,0.729,0.739,8,-9.5,0,0.696,9.37e-06,0.338,0.164,0.749,90.306,237427,4,rap
70,0.701,0.485,11,-10.305,0,0.367,6.31e-05,0.364,0.0852,0.496,78.863,530253,4,rap
59,0.695,0.768,5,-8.819,0,0.00137,0.0,0.136,0.0964,0.499,156.974,184587,4,rap
67,0.87,0.386,7,-7.843,0,0.745,0.00013,0.0684,0.122,0.642,119.91,194347,3,rap
76,0.776,0.603,5,-5.696,1,0.0728,6.25e-05,0.0343,0.111,0.921,96.888,295920,4,rap
57,0.814,0.619,11,-7.82,0,0.607,0.0,0.218,0.0829,0.625,124.073,216907,4,rap
59,0.64,0.849,2,-5.684,1,0.058,0.0,0.153,0.303,0.64,76.983,249040,4,rap
