popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
59,0.815,0.462,10,-7.772,0,0.579,0.0,0.0505,0.11,0.529,133.005,206920,4,rap
56,0.873,0.456,11,-9.718,0,0.312,0.000171,0.311,0.183,0.591,119.985,228220,4,rap
51,0.812,0.618,0,-7.228,1,0.313,0.0,0.235,0.121,0.462,136.954,210453,4,rap
48,0.874,0.547,2,-9.285,1,0.0318,0.0,0.343,0.113,0.65,147.952,183814,4,rap
50,0.816,0.627,0,-11.09,0,0.454,0.000329,0.365,0.0636,0.36,145.031,229080,4,rap
50,0.888,0.612,1,-7.449,1,0.104,3.73e-06,0.44,0.066,0.407,135.984,218910,4,rap
42,0.672,0.526,6,-9.214,0,0.382,0.0,0.406,0.0831,0.577,139.918,157067,4,rap
46,0.767,0.534,2,-6.381,1,0.265,0.0,0.359,0.0896,0.0618,139.978,229760,4,rap
47,0.689,0.457,0,-8.163,0,0.0878,0.000687,0.0434,0.083,0.182,117.928,239173,4,rap
52,0.672,0.723,2,-7.586,0,0.544,0.0,0.173,0.0634,0.333,83.974,205047,4,rap
41,0.738,0.619,9,-9.742,0,0.0297,1.22e-06,0.238,0.0989,0.13,123.171,190487,4,rap
43,0.705,0.427,11,-12.538,0,0.222,0.0,0.83,0.111,0.68,93.828,216004,4,rap
45,0.533,0.455,2,-11.25,1,0.019,0.0365,0.124,0.119,0.139,122.758,242493,4,rap
48,0.878,0.515,2,-8.059,1,0.0771,0.0,0.365,0.108,0.73,125.967,161990,4,rap
41,0.757,0.791,11,-5.861,0,0.262,0.0,0.372,0.0866,0.65,90.444,207663,4,rap
40,0.656,0.818,9,-4.625,1,0.645,1.98e-06,0.356,0.202,0.707,88.709,196667,4,rap
39,0.646,0.47,0,-10.432,0,0.588,9.13e-06,0.0745,0.141,0.179,75.863,99680,4,rap
45,0.668,0.632,11,-10.749,0,0.0391,4.03e-06,0.393,0.776,0.526,139.551,151277,4,rap
38,0.769,0.537,1,-11.007,0,0.557,0.00443,0.0565,0.118,0.612,116.97,239387,4,rap
36,0.794,0.537,6,-11.203,0,0.17,2.72e-05,0.197,0.194,0.654,127.976,195290,4,rap
40,0.597,0.454,11,-10.422,1,0.225,0.0613,0.104,0.15,0.185,128.73,201013,4,rap
42,0.86,0.475,1,-8.315,1,0.0628,0.0,0.318,0.0995,0.453,130.031,158615,4,rap
35,0.921,0.518,2,-9.302,1,0.0676,0.0,0.371,0.117,0.386,116.973,205667,4,rap
32,0.862,0.441,0,-12.128,0,0.266,2.68e-06,0.269,0.112,0.498,135.045,173890,4,rap
35,0.659,0.855,0,-3.379,1,0.528,0.0,0.302,0.454,0.855,89.979,358505,4,rap
35,0.715,0.562,3,-9.492,0,0.636,0.0,0.368,0.109,0.677,82.722,232518,4,rap
35,0.593,0.411,6,-11.151,0,0.406,0.0,0.322,0.0994,0.2,123.89,244181,4,rap
31,0.751,0.43,8,-11.099,1,0.244,3.31e-06,0.26,0.231,0.281,120.9,176221,4,rap
33,0.775,0.612,1,-5.684,0,0.0907,6.01e-06,0.382,0.287,0.241,137.993,139273,4,rap
30,0.662,0.718,2,-7.795,1,0.117,0.0,0.283,0.1,0.287,81.057,184213,4,rap
31,0.705,0.662,0,-8.433,1,0.594,0.0018,0.224,0.104,0.311,96.036,170240,4,rap
33,0.866,0.648,11,-9.872,0,0.0213,1.39e-06,0.298,0.447,0.67,127.038,194707,4,rap
30,0.808,0.534,10,-6.241,0,0.116,0.0,0.355,0.188,0.562,90.058,237864,4,rap
34,0.714,0.811,2,-6.164,1,0.225,2.15e-06,0.31,0.162,0.586,112.03,222308,4,rap
27,0.825,0.477,6,-10.27,0,0.131,0.0,0.454,0.064,0.539,141.864,181880,4,rap
31,0.801,0.449,10,-11.313,0,0.144,1.56e-06,0.392,0.122,0.671,75.52,133385,4,rap
32,0.715,0.516,11,-7.984,0,0.17,0.00114,0.232,0.101,0.451,77.085,213000,4,rap
29,0.577,0.874,10,-4.91,0,0.641,2.29e-06,0.4,0.0883,0.393,81.133,230969,4,rap
29,0.816,0.673,0,-8.094,1,0.638,0.0,0.308,0.165,0.462,115.004,244251,4,rap
