popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
77,0.529,0.845,8,-8.142,1,0.244,0.0,0.404,0.143,0.331,85.63,255378,3,rap
82,0.79,0.67,1,-5.527,1,0.377,2.32e-06,0.105,0.119,0.408,139.956,195950,4,rap
68,0.514,0.472,8,-11.106,0,0.753,0.00012,0.368,0.0746,0.557,77.215,203367,3,rap
80,0.775,0.736,1,-8.072,0,0.319,0.00116,0.247,0.127,0.362,100.988,239027,4,rap
76,0.514,0.779,10,-4.365,0,0.181,0.0,0.344,0.099,0.517,152.869,222497,4,rap
64,0.481,0.406,7,-11.52,1,0.864,0.000315,0.0775,0.0869,0.741,91.589,103319,4,rap
79,0.852,0.421,10,-9.153,0,0.428,2.28e-06,0.208,0.106,0.457,95.977,202285,4,rap
69,0.648,0.68,11,-7.276,1,0.292,0.0,0.345,0.0808,0.504,106.89,341307,3,rap
71,0.567,0.824,3,-6.973,0,0.167,2.65e-06,0.296,0.149,0.737,138.202,329295,4,rap
77,0.776,0.431,4,-7.544,0,0.671,0.0,0.091,0.153,0.495,133.999,283642,4,rap
65,0.355,0.245,1,-13.475,0,0.801,9.11e-05,0.0358,0.112,0.162,173.329,264299,4,rap
74,0.907,0.577,1,-6.737,0,0.438,3.19e-05,0.0767,0.137,0.801,140.07,220779,4,rap
64,0.618,0.43,5,-9.38,0,0.807,0.0,0.216,0.189,0.826,117.125,152986,4,rap
72,0.605,0.692,8,-7.45,1,0.495,0.0,0.446,0.303,0.685,124.84,224466,5,rap
64,0.52,0.375,0,-13.409,1,0.745,0.0122,0.358,0.429,0.589,127.544,281070,5,rap
69,0.727,0.53,9,-8.616,1,0.283,2.76e-05,0.312,0.392,0.258,174.025,210841,3,rap
64,0.492,0.369,8,-14.861,0,0.87,2.85e-05,0.329,0.11,0.491,140.012,406528,4,rap
69,0.652,0.67,2,-8.766,1,0.225,1.4e-05,0.0639,0.0804,0.274,91.933,256008,4,rap
66,0.7,0.812,1,-8.128,0,0.183,0.0,0.297,0.0756,0.801,97.405,332229,4,rap
78,0.711,0.611,1,-5.453,1,0.00575,0.0,0.329,0.231,0.144,134.14,252070,4,rap
81,0.638,0.523,1,-6.664,1,0.00454,0.0,0.357,0.0842,0.422,139.913,185947,4,rap
67,0.667,0.582,11,-5.791,0,0.00466,0.0,0.267,0.124,0.141,121.972,316733,4,rap
65,0.566,0.724,1,-4.574,1,0.00102,0.0,0.323,0.158,0.407,81.774,225267,4,rap
86,0.698,0.633,8,-4.946,1,0.0605,0.000194,0.0597,0.0926,0.552,96.924,232187,4,rap
70,0.782,0.633,8,-4.644,1,0.0355,0.0,0.341,0.0615,0.749,150.055,175213,4,rap
83,0.716,0.531,7,-7.355,1,0.0703,0.0,0.122,0.224,0.344,71.994,386907,4,rap
72,0.716,0.485,1,-7.745,1,0.123,2.69e-05,0.404,0.604,0.26,74.132,313787,4,rap
