popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
60,0.708,0.683,4,-7.768,0,0.00122,0.643,0.0344,0.121,0.463,123.602,220533,4,electro
48,0.583,0.666,9,-11.702,0,0.0917,0.993,0.0307,0.281,0.11,121.709,401253,4,electro
49,0.713,0.622,5,-11.466,0,0.802,0.845,0.0299,0.0944,0.516,124.693,439440,4,electro
46,0.664,0.913,0,-8.424,0,0.0866,0.892,0.0469,0.305,0.647,133.971,312760,4,electro
50,0.806,0.765,2,-9.665,0,0.0236,0.617,0.0583,0.148,0.353,115.023,372760,4,electro
42,0.878,0.611,1,-12.221,1,0.0559,0.838,0.118,0.0527,0.718,107.65,397373,4,electro
44,0.857,0.459,8,-13.375,1,0.628,0.726,0.0518,0.104,0.964,135.863,296800,4,electro
37,0.187,0.0382,0,-24.467,0,0.989,0.986,0.0396,0.148,0.211,141.933,31613,3,electro
42,0.527,0.751,8,-8.764,1,0.0412,0.798,0.0361,0.644,0.135,123.491,357107,4,electro
35,0.814,0.718,10,-11.228,0,0.00615,0.933,0.0852,0.104,0.592,107.236,131693,4,electro
38,0.931,0.342,2,-12.472,0,0.81,0.854,0.0613,0.145,0.829,129.483,306200,4,electro
38,0.805,0.521,4,-11.25,1,0.0143,0.845,0.0584,0.099,0.754,126.143,304507,4,electro
38,0.564,0.795,5,-9.391,0,0.00118,0.781,0.0311,0.137,0.49,122.719,361107,4,electro
44,0.333,0.497,2,-15.606,1,0.105,0.872,0.0366,0.129,0.113,81.681,1367093,4,electro
36,0.772,0.98,3,-5.522,1,0.0298,0.528,0.0508,0.245,0.642,127.364,230200,4,electro
35,0.762,0.933,1,-12.996,1,0.667,0.908,0.041,0.496,0.69,140.025,200013,4,electro
40,0.71,0.978,4,-9.017,1,0.0551,0.9,0.0382,0.272,0.661,104.753,532533,4,electro
37,0.807,0.776,2,-8.787,0,0.0207,0.732,0.0638,0.112,0.485,115.214,372747,4,electro
32,0.741,0.207,7,-17.144,1,0.897,0.497,0.106,0.0809,0.688,111.386,55333,4,electro
28,0.284,0.182,6,-16.882,1,0.987,0.646,0.0442,0.0652,0.0572,86.095,77120,4,electro
39,0.49,0.774,1,-10.854,1,0.0419,0.708,0.0573,0.175,0.808,89.371,332333,4,electro
32,0.645,0.536,7,-12.314,1,0.214,0.435,0.0374,0.226,0.504,144.766,222147,4,electro
35,0.799,0.553,7,-14.286,1,0.299,0.184,0.065,0.369,0.354,129.247,200333,4,electro
35,0.637,0.574,0,-10.397,1,0.0305,0.49,0.0488,0.151,0.639,90.996,489827,4,electro
36,0.77,0.464,11,-11.391,1,0.0408,0.649,0.0571,0.199,0.419,110.387,581027,4,electro
31,0.515,0.335,10,-27.063,0,0.0253,0.401,0.136,0.0787,0.0623,210.131,67640,4,electro
34,0.729,0.889,9,-8.498,0,0.000727,0.906,0.0452,0.0958,0.613,124.043,412773,4,electro
32,0.392,0.524,0,-13.697,1,0.00014,0.106,0.0331,0.116,0.291,134.404,331147,4,electro
33,0.91,0.954,0,-6.75,0,0.269,0.449,0.0598,0.0948,0.926,125.119,375320,4,electro
29,0.506,0.335,1,-12.673,1,0.988,0.915,0.0365,0.331,0.073,110.077,134107,3,electro
33,0.805,0.896,1,-8.893,1,0.0421,0.81,0.0605,0.0591,0.16,108.136,179080,4,electro
32,0.714,0.645,9,-11.41,0,0.0404,0.798,0.044,0.0944,0.21,126.064,405815,4,electro
31,0.815,0.626,1,-11.168,1,0.217,0.817,0.0469,0.691,0.594,107.448,293707,4,electro
28,0.694,0.433,10,-17.071,0,0.571,0.0,0.353,0.349,0.0863,67.506,54827,3,electro
31,0.827,0.449,2,-10.76,0,0.11,0.693,0.042,0.108,0.937,129.251,306560,4,electro
32,0.545,0.607,1,-11.318,1,0.192,0.887,0.0566,0.19,0.304,120.658,380920,4,electro
29,0.81,0.883,11,-9.468,1,0.00587,0.61,0.0534,0.668,0.873,113.035,170130,4,electro
28,0.54,0.273,1,-17.38,1,0.359,0.885,0.377,0.195,0.625,105.462,77160,3,electro
32,0.661,0.714,7,-10.621,0,0.439,0.934,0.0275,0.161,0.655,124.816,435947,4,electro
31,0.916,0.583,1,-13.318,1,0.128,0.827,0.165,0.0515,0.799,108.031,395973,4,electro
28,0.832,0.712,0,-10.444,0,0.302,0.282,0.0476,0.207,0.479,127.951,219428,4,electro
29,0.714,0.649,9,-11.352,0,0.034,0.686,0.0449,0.0837,0.189,126.056,405815,4,electro
30,0.236,0.192,0,-18.919,1,0.151,0.856,0.0409,0.0618,0.0343,69.72,401987,4,electro
30,0.749,0.484,11,-11.12,1,0.0451,0.501,0.0507,0.263,0.421,110.12,581040,4,electro
32,0.789,0.653,8,-10.073,1,0.57,0.774,0.0742,0.0653,0.951,120.747,256467,4,electro
30,0.713,0.969,4,-9.016,1,0.045,0.857,0.0391,0.184,0.682,104.512,535907,4,electro
29,0.39,0.145,2,-17.535,1,0.413,0.271,0.0469,0.351,0.0644,107.783,225920,5,electro
28,0.775,0.977,8,-5.552,1,0.0325,0.68,0.051,0.312,0.693,127.338,230080,4,electro
30,0.791,0.916,11,-11.753,0,0.00393,0.43,0.138,0.172,0.389,108.183,344480,4,electro
29,0.672,0.448,1,-11.109,1,0.551,0.825,0.0694,0.182,0.237,181.994,410267,4,electro
