popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
0,0.574,0.926,11,-10.79,1,0.00031,0.478,0.0562,0.386,0.609,113.097,145067,4,rock
80,0.338,0.34,9,-12.049,0,0.58,0.0032,0.0339,0.116,0.197,82.433,482830,4,rock
78,0.412,0.902,9,-11.6,1,0.0484,0.131,0.405,0.405,0.422,89.74,333893,4,rock
72,0.476,0.717,9,-9.192,1,0.0382,7.61e-05,0.0949,0.0818,0.753,93.584,166267,4,rock
69,0.468,0.858,1,-9.639,1,0.166,0.000304,0.0543,0.0807,0.526,77.987,236760,4,rock
73,0.317,0.887,9,-7.292,1,0.000582,0.00258,0.0375,0.0891,0.871,169.613,220561,4,rock
73,0.468,0.607,9,-11.367,1,0.072,0.000852,0.0336,0.225,0.886,98.429,263333,4,rock
67,0.525,0.929,9,-8.56,0,0.262,2.9e-05,0.0784,0.0754,0.556,163.503,262748,4,rock
71,0.402,0.691,7,-10.274,1,0.0679,0.133,0.0691,0.0955,0.206,96.95,290934,4,rock
71,0.503,0.265,2,-15.913,1,0.943,0.045,0.0333,0.0867,0.522,78.044,212161,4,rock
67,0.306,0.398,6,-12.767,1,0.0857,6.02e-05,0.0412,0.0756,0.0948,85.622,191828,4,rock
67,0.403,0.709,9,-9.366,1,0.0746,0.494,0.0885,0.132,0.654,97.161,254133,4,rock
71,0.483,0.615,2,-8.538,1,0.452,0.000414,0.0497,0.0512,0.594,80.576,517125,3,rock
74,0.437,0.864,4,-7.842,0,0.396,0.0314,0.0904,0.242,0.749,81.394,295387,4,rock
66,0.554,0.791,7,-8.326,1,0.113,1.76e-05,0.0288,0.166,0.697,91.108,353720,4,rock
63,0.399,0.946,2,-6.998,1,0.0572,6.77e-06,0.164,0.73,0.447,175.009,147933,4,rock
61,0.475,0.808,9,-8.859,1,0.000942,7.97e-06,0.037,0.146,0.896,152.098,159301,4,rock
65,0.271,0.766,5,-8.03,1,0.00217,0.52,0.0329,0.0707,0.803,142.914,428851,4,rock
65,0.52,0.912,0,-7.512,1,0.124,0.00151,0.0487,0.239,0.702,131.403,370920,4,rock
58,0.493,0.593,2,-13.3,0,0.252,0.891,0.0613,0.0733,0.841,93.397,98373,4,rock
64,0.393,0.364,5,-10.945,0,0.0021,0.0703,0.0345,0.121,0.308,118.566,444148,3,rock
62,0.401,0.56,9,-8.7,1,0.08,0.0121,0.0612,0.361,0.735,88.256,271397,4,rock
59,0.632,0.849,9,-8.282,1,0.167,0.0389,0.0351,0.571,0.939,123.092,244686,4,rock
63,0.404,0.435,4,-12.045,0,0.246,0.00074,0.0323,0.156,0.156,136.058,401067,4,rock
58,0.264,0.609,9,-10.992,0,0.111,0.311,0.0655,0.322,0.862,185.875,183227,4,rock
62,0.336,0.318,0,-11.412,1,0.317,0.0716,0.0263,0.111,0.24,79.66,459094,4,rock
57,0.467,0.835,7,-7.084,1,0.0745,0.000184,0.0642,0.26,0.639,91.603,311640,4,rock
65,0.271,0.553,2,-9.526,1,0.044,0.0096,0.0472,0.0999,0.433,86.762,386373,3,rock
58,0.47,0.806,2,-7.165,1,0.379,0.0624,0.0369,0.86,0.787,132.359,278907,4,rock
56,0.34,0.287,0,-17.333,1,0.719,0.562,0.0374,0.0874,0.248,171.904,126561,4,rock
57,0.525,0.501,1,-14.192,1,0.16,0.025,0.0318,0.146,0.333,108.291,257346,4,rock
58,0.34,0.472,9,-12.939,1,0.275,0.0,0.0473,0.0843,0.533,78.086,283973,4,rock
60,0.33,0.342,11,-14.09,1,0.734,0.671,0.0404,0.129,0.0795,142.95,422518,4,rock
59,0.545,0.416,2,-11.979,1,0.559,0.00496,0.0433,0.0369,0.295,76.872,394921,4,rock
57,0.245,0.328,6,-11.553,1,0.673,0.0,0.0377,0.138,0.102,86.926,337110,4,rock
56,0.316,0.27,7,-14.429,1,0.171,0.00225,0.059,0.165,0.0956,78.476,289467,4,rock
57,0.255,0.815,7,-8.197,1,0.0747,0.471,0.0545,0.227,0.699,144.549,329094,4,rock
57,0.618,0.769,9,-8.012,1,0.0123,0.00829,0.0248,0.23,0.385,102.678,339475,4,rock
54,0.42,0.662,4,-9.828,0,0.656,0.000423,0.0341,0.096,0.378,147.949,351678,4,rock
55,0.506,0.434,2,-13.758,1,0.525,0.0011,0.129,0.234,0.498,80.523,282427,3,rock
53,0.418,0.962,4,-8.423,1,0.083,0.00282,0.0567,0.138,0.59,94.141,247345,4,rock
56,0.561,0.842,2,-7.518,0,0.239,0.412,0.0566,0.0768,0.843,111.209,336836,4,rock
53,0.235,0.767,9,-9.435,1,0.0502,0.145,0.0879,0.21,0.459,188.904,388093,4,rock
52,0.431,0.789,2,-8.224,1,0.0122,0.0921,0.0449,0.119,0.425,104.036,413907,4,rock
53,0.257,0.452,7,-12.365,1,0.744,0.0996,0.0349,0.38,0.271,83.553,233901,1,rock
53,0.531,0.798,2,-8.514,1,0.132,0.0,0.148,0.356,0.852,112.609,197704,5,rock
55,0.321,0.865,2,-8.796,1,0.0205,0.00756,0.0496,0.108,0.317,145.919,631720,4,rock
54,0.322,0.68,9,-11.349,1,0.114,0.0245,0.061,0.434,0.518,142.748,508000,4,rock
52,0.269,0.765,7,-8.535,1,0.0444,0.0131,0.0599,0.967,0.237,102.817,653027,4,rock
46,0.285,0.878,2,-8.26,1,0.0212,0.0409,0.13,0.145,0.484,81.594,158413,3,rock
49,0.365,0.611,0,-11.821,1,0.0239,1.84e-05,0.0978,0.119,0.675,180.236,385080,4,rock
