popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
0,0.738,0.814,7,-4.414,0,0.132,9.64e-06,0.0999,0.126,0.483,119.041,225850,4,electro
77,0.723,0.809,7,-3.081,0,0.00346,0.00123,0.0625,0.565,0.274,98.007,176561,4,electro
73,0.608,0.798,6,-5.092,0,0.0736,0.0,0.0432,0.156,0.501,92.943,185352,4,electro
65,0.647,0.732,2,-5.846,1,0.0846,0.0,0.0891,0.597,0.548,67.295,222529,3,electro
60,0.701,0.663,6,-7.227,1,0.0123,1.04e-05,0.202,0.131,0.334,100.001,167080,4,electro
75,0.747,0.877,9,-3.782,0,0.0375,0.000833,0.0664,0.233,0.752,107.991,166138,4,electro
64,0.793,0.885,8,-4.136,1,0.0373,0.0075,0.0732,0.248,0.492,126.037,169998,4,electro
60,0.57,0.585,8,-7.041,1,0.128,0.000105,0.251,0.111,0.378,97.285,171987,4,electro
60,0.728,0.811,7,-4.278,1,0.0453,2.07e-06,0.0564,0.362,0.705,114.995,228707,4,electro
63,0.598,0.792,11,-4.043,0,0.121,0.0,0.0478,0.158,0.732,97.479,206327,3,electro
57,0.723,0.86,7,-4.892,1,0.101,0.000202,0.0463,0.143,0.574,93.985,199169,4,electro
59,0.525,0.65,11,-6.961,0,0.0852,0.133,0.0683,0.133,0.787,175.913,289973,4,electro
60,0.891,0.894,4,-4.595,0,0.0466,0.000244,0.145,0.161,0.671,130.045,154154,4,electro
57,0.678,0.735,8,-4.725,1,0.0265,2.19e-05,0.0488,0.235,0.386,100.002,204655,4,electro
55,0.834,0.652,6,-8.241,0,0.24,0.0708,0.0491,0.0464,0.491,113.002,199679,4,electro
62,0.817,0.754,10,-4.128,0,0.0193,6.69e-06,0.156,0.0585,0.86,107.999,269147,4,electro
54,0.662,0.844,8,-5.495,1,0.00295,4.78e-05,0.0669,0.525,0.763,145.007,205760,4,electro
59,0.789,0.767,9,-4.612,0,0.00812,0.000348,0.0715,0.101,0.637,99.957,167311,4,electro
56,0.755,0.866,10,-4.834,1,0.0021,0.0579,0.032,0.243,0.369,115.993,236379,4,electro
57,0.747,0.641,1,-4.502,1,0.25,0.00107,0.0925,0.106,0.453,100.028,186231,4,electro
54,0.755,0.928,5,-4.406,0,0.143,0.00256,0.0327,0.0835,0.698,113.003,199646,4,electro
52,0.69,0.707,11,-4.783,1,0.125,3.36e-06,0.276,0.237,0.681,103.909,127076,4,electro
56,0.803,0.743,1,-3.602,0,0.105,2.12e-06,0.0681,0.099,0.674,108.005,203180,4,electro
56,0.704,0.784,7,-4.463,0,0.00283,0.0,0.142,0.419,0.656,100.083,186448,4,electro
50,0.733,0.702,2,-7.498,1,0.00835,0.506,0.037,0.066,0.654,125.997,396190,4,electro
52,0.817,0.627,5,-5.038,0,0.00618,0.0,0.173,0.0682,0.519,98.022,156818,4,electro
50,0.856,0.76,1,-7.41,0,0.0085,0.0841,0.0359,0.0709,0.153,113.008,193274,4,electro
52,0.497,0.627,6,-6.141,0,0.00142,0.0,0.0319,0.619,0.193,79.93,233011,4,electro
51,0.696,0.849,7,-4.391,1,0.0457,0.0,0.289,0.372,0.502,108.127,173910,4,electro
47,0.737,0.794,7,-3.606,1,0.0142,0.000515,0.061,0.597,0.484,100.019,169227,4,electro
50,0.682,0.725,0,-4.959,0,0.359,0.000316,0.111,0.571,0.679,112.24,197961,5,electro
48,0.648,0.812,9,-5.086,1,0.0372,1.07e-06,0.137,0.0881,0.392,170.022,165176,4,electro
50,0.661,0.837,2,-4.717,0,0.00814,0.0019,0.0388,0.304,0.326,115.091,212307,4,electro
51,0.689,0.892,4,-3.95,0,0.00446,0.00932,0.246,0.435,0.77,110.09,221612,4,electro
49,0.597,0.905,8,-3.422,0,0.0743,0.00168,0.0507,0.126,0.685,144.979,223469,4,electro
46,0.803,0.566,5,-7.145,0,0.218,0.0,0.0636,0.437,0.87,95.049,192560,4,electro
48,0.753,0.765,11,-4.648,1,0.00279,0.025,0.0403,0.696,0.497,97.0,168398,4,electro
46,0.719,0.703,5,-4.93,0,0.032,1.14e-05,0.0392,0.0656,0.72,101.984,223000,4,electro
47,0.795,0.73,1,-4.678,0,0.319,0.00727,0.278,0.0962,0.724,176.0,144182,4,electro
46,0.576,0.897,5,-4.024,0,0.0457,0.0,0.113,0.0671,0.513,122.917,306987,4,electro
44,0.474,0.771,5,-5.925,0,0.368,3.47e-06,0.262,0.183,0.42,169.896,145412,4,electro
50,0.765,0.771,7,-6.99,1,0.0115,0.00237,0.347,0.606,0.394,194.072,227813,4,electro
44,0.721,0.779,6,-5.005,0,0.0805,0.000844,0.0285,0.0857,0.182,112.979,220885,4,electro
47,0.902,0.816,5,-2.999,0,0.212,0.0,0.0397,0.082,0.912,104.003,163846,4,electro
47,0.63,0.888,11,-2.388,0,0.0761,1.94e-06,0.0995,0.26,0.561,141.019,233333,4,electro
45,0.82,0.866,7,-3.859,0,0.152,0.0,0.214,0.0938,0.834,94.018,180000,4,electro
43,0.594,0.888,11,-5.807,0,0.0013,0.000156,0.0588,0.563,0.339,129.896,157076,4,electro
44,0.785,0.905,7,-2.429,1,0.0581,0.00601,0.25,0.148,0.789,93.01,187581,4,electro
43,0.635,0.496,1,-5.59,1,0.209,0.702,0.0478,0.134,0.308,84.06,253693,4,electro
38,0.428,0.904,5,-4.189,1,0.0404,4.1e-06,0.261,0.0754,0.834,199.869,174000,4,electro
43,0.832,0.671,10,-8.438,1,0.416,0.0,0.169,0.228,0.49,113.948,240484,4,electro
