popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
61,0.315,0.211,0,-22.835,1,0.982,0.924,0.0384,0.147,0.647,120.39,294467,4,classique
60,0.492,0.136,7,-18.839,1,0.948,0.893,0.0463,0.0726,0.445,135.786,351493,4,classique
61,0.428,0.237,7,-13.764,0,0.987,0.896,0.0351,0.0849,0.357,79.904,460027,4,classique
60,0.171,0.037,3,-25.191,1,0.991,0.898,0.0409,0.123,0.037,67.89,330000,4,classique
58,0.313,0.144,2,-17.316,1,0.944,0.92,0.0368,0.181,0.303,145.162,244560,4,classique
46,0.27,0.149,10,-21.207,1,0.994,0.922,0.0458,0.108,0.505,179.153,225467,1,classique
59,0.194,0.079,4,-21.389,1,0.969,0.498,0.0425,0.126,0.082,100.309,517360,4,classique
53,0.178,0.0157,2,-24.129,1,0.981,0.896,0.0451,0.0779,0.093,134.332,403387,5,classique
61,0.382,0.0499,2,-25.262,1,0.994,0.906,0.0548,0.109,0.0779,125.903,316653,4,classique
55,0.416,0.174,7,-16.689,0,0.943,0.916,0.0353,0.118,0.198,109.35,451333,4,classique
53,0.219,0.0283,6,-28.784,0,0.978,0.943,0.0375,0.133,0.044,90.879,431147,3,classique
51,0.62,0.179,5,-19.86,1,0.986,0.948,0.0585,0.13,0.948,124.809,56067,4,classique
51,0.264,0.0923,5,-20.328,1,0.961,0.926,0.0423,0.111,0.144,98.886,510933,4,classique
53,0.325,0.0735,9,-26.065,1,0.991,0.929,0.0506,0.0804,0.213,173.798,301400,4,classique
55,0.171,0.0115,3,-30.173,1,0.987,0.848,0.0436,0.0991,0.083,72.404,452707,4,classique
51,0.295,0.12,0,-17.601,1,0.965,0.821,0.0472,0.223,0.177,152.712,262440,4,classique
50,0.442,0.117,0,-19.385,1,0.962,0.908,0.0436,0.305,0.338,120.091,440600,4,classique
49,0.401,0.054,10,-20.669,1,0.97,0.285,0.0468,0.136,0.581,148.833,340000,4,classique
53,0.109,0.0414,5,-25.91,1,0.988,0.114,0.0482,0.106,0.0367,82.111,256200,5,classique
48,0.61,0.13,0,-14.211,1,0.789,0.0605,0.0555,0.097,0.652,72.35,137053,4,classique
