popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
73,0.67,0.776,9,-5.874,1,0.0184,0.00294,0.0356,0.128,0.703,130.128,264253,4,rock
84,0.559,0.868,5,-5.276,1,0.0475,0.000176,0.17,0.776,0.609,156.295,209413,4,rock
82,0.671,0.712,2,-7.815,1,0.429,0.0,0.0476,0.103,0.462,113.805,248440,4,rock
81,0.599,0.761,0,-6.887,1,0.713,4.74e-06,0.0421,0.349,0.712,77.015,163373,4,rock
81,0.692,0.497,2,-7.316,1,0.676,0.0,0.119,0.259,0.475,81.308,122067,4,rock
83,0.414,0.404,0,-9.928,0,0.271,0.0,0.0499,0.3,0.224,71.105,354320,4,rock
77,0.795,0.435,4,-8.927,1,0.0841,0.00026,0.0324,0.0763,0.596,108.95,258013,4,rock
83,0.933,0.528,5,-6.472,0,0.112,0.312,0.161,0.163,0.754,109.967,214653,4,rock
77,0.535,0.651,10,-6.326,1,0.391,0.0,0.0544,0.133,0.612,117.218,179600,4,rock
75,0.744,0.502,5,-7.719,1,0.183,0.000228,0.0359,0.189,0.66,112.344,348227,4,rock
75,0.406,0.698,8,-7.024,1,0.186,0.0,0.0624,0.233,0.333,109.266,296480,3,rock
76,0.268,0.459,10,-6.94,1,0.378,0.0,0.0346,0.118,0.175,64.177,179200,4,rock
74,0.329,0.179,5,-11.589,1,0.933,5.04e-06,0.0299,0.115,0.255,154.175,217387,4,rock
70,0.51,0.76,0,-6.995,1,0.148,0.0116,0.0411,0.0706,0.55,118.829,170787,4,rock
73,0.543,0.461,3,-6.724,1,0.577,0.0,0.0302,0.0563,0.385,96.803,173173,4,rock
70,0.426,0.687,11,-6.926,0,0.409,0.0,0.0329,0.112,0.189,84.141,277827,4,rock
69,0.465,0.917,5,-6.331,1,0.0152,0.02,0.237,0.286,0.39,155.061,217824,4,rock
68,0.224,0.831,11,-5.694,0,0.0354,4.42e-06,0.0641,0.361,0.432,92.34,241587,4,rock
65,0.385,0.395,7,-7.602,1,0.58,6.31e-05,0.0313,0.159,0.21,72.933,259213,4,rock
65,0.428,0.787,9,-4.998,1,0.315,2.03e-05,0.0849,0.124,0.523,128.582,218320,4,rock
67,0.337,0.684,2,-7.674,1,0.0319,6.57e-06,0.0495,0.342,0.404,88.772,255600,4,rock
64,0.447,0.531,7,-7.721,1,0.0377,1.28e-05,0.0269,0.336,0.339,75.051,246907,3,rock
65,0.406,0.934,5,-6.668,1,0.0138,0.0,0.0845,0.955,0.395,118.823,245680,4,rock
63,0.333,0.863,7,-6.918,1,0.0518,0.0,0.0515,0.972,0.384,110.162,318867,1,rock
63,0.818,0.4,9,-9.927,1,0.302,0.00241,0.11,0.18,0.838,73.76,209107,4,rock
64,0.182,0.388,4,-8.672,0,0.544,0.00134,0.0324,0.114,0.0392,139.276,295333,4,rock
65,0.796,0.486,7,-7.543,1,0.338,0.0,0.2,0.0314,0.646,135.249,232120,4,rock
63,0.463,0.671,3,-6.438,1,0.0626,0.0,0.0683,0.0947,0.633,84.28,180813,4,rock
60,0.689,0.4,0,-9.63,1,0.372,0.000137,0.0299,0.0605,0.559,112.64,255040,4,rock
63,0.413,0.39,4,-12.557,0,0.32,0.000238,0.0346,0.0918,0.35,143.861,247187,4,rock
61,0.507,0.452,7,-6.8,1,0.359,0.0,0.0269,0.109,0.322,81.632,229920,3,rock
61,0.449,0.908,8,-6.131,1,0.0833,0.0,0.0853,0.0971,0.495,139.083,289813,4,rock
60,0.569,0.864,5,-5.697,1,0.0614,0.00955,0.0862,0.353,0.318,90.08,248387,4,rock
60,0.317,0.896,2,-6.089,1,0.122,0.0168,0.104,0.253,0.421,126.894,168973,4,rock
58,0.215,0.87,2,-10.92,1,0.881,0.112,0.351,0.976,0.462,144.877,41455,3,rock
59,0.593,0.425,0,-9.775,1,0.29,1.34e-06,0.0288,0.167,0.268,110.208,336160,4,rock
59,0.42,0.599,3,-6.188,1,0.422,0.0,0.0291,0.159,0.299,82.336,246973,4,rock
59,0.524,0.571,8,-9.686,1,0.0271,0.0,0.0273,0.111,0.373,101.626,210800,4,rock
62,0.316,0.86,7,-5.038,0,0.175,4.92e-05,0.0661,0.902,0.195,100.888,237026,3,rock
59,0.242,0.7,5,-5.772,1,0.341,0.0,0.0346,0.122,0.273,156.706,212533,4,rock
61,0.346,0.728,1,-5.747,1,0.187,0.00379,0.0451,0.344,0.174,74.939,393027,4,rock
59,0.395,0.656,9,-6.462,1,0.29,2.72e-05,0.0329,0.0624,0.487,174.782,274227,4,rock
56,0.645,0.557,3,-9.108,1,0.4,0.00183,0.0535,0.0845,0.703,131.885,67400,4,rock
59,0.331,0.887,2,-5.588,1,0.114,0.000103,0.0648,0.367,0.196,135.035,287427,4,rock
59,0.456,0.923,2,-7.398,1,0.0444,0.000296,0.223,0.361,0.338,120.004,311027,4,rock
57,0.591,0.829,4,-6.499,0,0.101,8.63e-05,0.036,0.385,0.574,121.964,324853,4,rock
57,0.566,0.912,2,-5.265,1,0.192,7.19e-06,0.0964,0.127,0.372,143.982,277773,4,rock
58,0.429,0.922,7,-6.649,1,0.0235,0.00138,0.0924,0.0954,0.439,120.361,133813,4,rock
57,0.386,0.881,7,-5.045,1,0.0327,0.0,0.0922,0.296,0.267,81.397,213827,4,rock
57,0.373,0.691,2,-6.219,1,0.362,4.03e-05,0.0554,0.133,0.499,124.767,223920,4,rock
58,0.308,0.975,9,-5.894,0,0.0194,9.14e-06,0.173,0.975,0.295,138.974,236083,4,rock
