popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
84,0.464,0.795,1,-9.267,1,0.0493,0.00244,0.0926,0.399,0.612,158.691,202267,4,rock
80,0.631,0.932,5,-4.142,1,0.0436,0.137,0.0354,0.0918,0.971,122.429,213067,4,rock
78,0.634,0.63,1,-8.277,0,0.447,0.039,0.031,0.17,0.489,118.628,270773,4,rock
75,0.783,0.878,1,-3.864,0,0.39,0.000778,0.0308,0.0426,0.885,100.626,265173,4,rock
78,0.723,0.863,2,-7.89,1,0.0383,0.0317,0.0338,0.128,0.931,136.302,222813,4,rock
74,0.429,0.554,9,-6.128,0,0.67,0.000152,0.0291,0.105,0.407,136.302,272000,4,rock
70,0.56,0.721,7,-6.669,1,0.225,0.0339,0.0629,0.0453,0.966,119.285,182707,4,rock
75,0.702,0.668,9,-9.237,1,0.518,0.0,0.214,0.0588,0.561,116.063,378147,4,rock
72,0.795,0.71,9,-4.746,0,0.443,0.0215,0.0392,0.344,0.845,109.689,288667,4,rock
70,0.432,0.389,7,-6.517,1,0.687,0.0107,0.0255,0.0788,0.158,139.506,341773,4,rock
68,0.595,0.885,3,-7.688,1,0.0744,0.534,0.0518,0.0844,0.643,137.243,222933,4,rock
68,0.732,0.494,6,-13.571,0,0.299,0.205,0.0406,0.0919,0.799,126.986,221533,4,rock
66,0.524,0.553,0,-10.767,1,0.831,0.0,0.0292,0.174,0.517,104.578,196493,4,rock
69,0.633,0.934,0,-3.594,1,0.219,0.00021,0.0344,0.0592,0.963,128.606,228667,4,rock
65,0.615,0.91,11,-4.248,1,0.5,0.511,0.0347,0.281,0.77,111.013,226333,4,rock
69,0.464,0.824,10,-7.359,1,0.467,0.018,0.0374,0.33,0.539,109.298,253720,4,rock
69,0.32,0.62,0,-9.686,1,0.64,6.36e-05,0.0594,0.253,0.472,86.327,448720,4,rock
62,0.606,0.794,0,-6.042,1,0.157,0.0406,0.0282,0.568,0.911,116.93,274227,4,rock
59,0.331,0.277,7,-11.035,1,0.723,0.00263,0.0295,0.181,0.366,112.78,165213,4,rock
64,0.605,0.742,4,-4.363,0,0.00286,0.00105,0.0327,0.256,0.47,105.04,271160,4,rock
61,0.54,0.862,2,-4.599,1,0.33,1.7e-05,0.0284,0.156,0.931,130.34,244533,4,rock
59,0.578,0.429,2,-9.601,1,0.178,6.01e-05,0.0268,0.171,0.0889,108.738,133320,4,rock
58,0.579,0.877,4,-8.83,1,0.0289,0.571,0.0488,0.0656,0.9,126.336,175080,4,rock
59,0.583,0.855,0,-7.213,1,0.1,0.0177,0.0333,0.262,0.69,128.178,195147,4,rock
65,0.545,0.757,0,-5.228,1,0.408,0.045,0.0396,0.16,0.714,152.217,436000,4,rock
60,0.477,0.74,9,-5.397,1,0.502,1.31e-06,0.0446,0.263,0.56,107.384,266560,4,rock
58,0.756,0.843,0,-5.315,1,0.4,0.0104,0.0476,0.0654,0.841,139.51,253507,4,rock
57,0.562,0.793,7,-7.774,1,0.705,0.0,0.0526,0.222,0.57,140.838,215920,4,rock
56,0.439,0.827,0,-4.593,1,0.0646,0.374,0.0335,0.0844,0.54,111.297,206467,4,rock
56,0.53,0.855,2,-5.116,1,0.0169,0.238,0.0461,0.0628,0.511,110.14,228867,4,rock
55,0.471,0.843,7,-5.702,1,0.636,0.0402,0.041,0.773,0.632,156.695,264267,4,rock
58,0.616,0.957,9,-3.966,1,0.501,0.0115,0.0508,0.318,0.778,128.517,307440,4,rock
58,0.365,0.839,0,-5.148,1,0.522,0.000469,0.0691,0.292,0.575,81.772,256827,4,rock
56,0.582,0.545,4,-11.677,0,0.017,4.05e-06,0.0298,0.229,0.721,101.691,164893,4,rock
56,0.678,0.621,5,-5.478,1,0.111,0.0973,0.0623,0.0394,0.776,113.389,339400,4,rock
52,0.665,0.844,5,-6.633,0,0.0194,0.000162,0.0675,0.0708,0.773,117.976,213560,4,rock
55,0.444,0.454,5,-7.434,1,0.892,0.0546,0.0419,0.114,0.236,67.848,305400,4,rock
56,0.617,0.459,1,-9.292,0,0.222,0.0415,0.0368,0.285,0.119,114.497,262400,4,rock
53,0.548,0.952,2,-2.958,1,0.118,0.837,0.0422,0.301,0.906,98.04,143293,4,rock
54,0.655,0.972,7,-3.502,1,0.257,0.297,0.0362,0.165,0.973,135.922,217093,4,rock
54,0.671,0.725,2,-10.065,1,0.296,0.00022,0.065,0.0889,0.956,85.27,140400,4,rock
53,0.742,0.94,2,-3.485,1,0.0866,0.0279,0.0756,0.319,0.782,121.747,204427,4,rock
55,0.485,0.943,4,-4.423,1,0.0639,0.179,0.0416,0.144,0.889,141.982,271933,4,rock
53,0.558,0.684,0,-8.246,1,0.433,0.00293,0.0288,0.226,0.867,116.232,327880,4,rock
57,0.679,0.697,4,-5.369,0,0.0148,0.0119,0.0454,0.124,0.776,110.558,247011,4,rock
55,0.417,0.5,7,-6.449,1,0.575,0.0883,0.0263,0.102,0.241,130.531,357200,4,rock
50,0.618,0.678,0,-5.199,1,0.6,0.723,0.0316,0.501,0.79,133.453,204573,4,rock
54,0.738,0.952,4,-2.752,1,0.415,2.2e-05,0.147,0.116,0.748,140.395,226800,4,rock
48,0.721,0.432,7,-11.688,1,0.0674,0.0321,0.0411,0.0971,0.674,109.373,185787,3,rock
50,0.53,0.888,5,-5.128,1,0.132,0.0321,0.0282,0.425,0.833,136.123,203173,4,rock
