popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
74,0.839,0.506,5,-6.714,0,0.00207,0.0,0.133,0.13,0.44,154.12,149610,4,rap
66,0.859,0.77,8,-5.358,0,0.0056,0.0,0.345,0.0731,0.348,155.025,207394,4,rap
65,0.433,0.443,1,-10.568,0,0.0922,0.000293,0.0361,0.117,0.0363,79.903,185851,3,rap
77,0.716,0.537,0,-7.648,0,0.233,0.0,0.0514,0.157,0.28,129.979,165978,4,rap
84,0.598,0.427,7,-8.764,0,0.0546,5.83e-06,0.0317,0.21,0.0605,76.469,175721,4,rap
84,0.834,0.73,8,-3.714,1,0.00513,0.0,0.222,0.124,0.446,155.008,312820,4,rap
81,0.763,0.628,11,-5.85,1,0.0531,0.0,0.05,0.114,0.193,140.958,190557,4,rap
86,0.841,0.728,7,-3.37,1,0.0847,0.0,0.0484,0.149,0.43,130.049,243837,4,rap
76,0.487,0.789,8,-3.69,1,0.00947,4.05e-06,0.044,0.189,0.0564,150.007,270715,4,rap
72,0.855,0.492,0,-7.578,0,0.0775,6.71e-06,0.0483,0.111,0.385,109.975,240000,4,rap
80,0.702,0.708,10,-5.366,0,0.201,0.0,0.0547,0.118,0.713,147.98,198408,4,rap
75,0.713,0.526,1,-5.046,1,0.00767,0.000148,0.032,0.124,0.131,131.05,262693,4,rap
71,0.689,0.723,0,-4.052,0,0.0985,0.0,0.0836,0.158,0.288,160.042,217828,4,rap
74,0.731,0.811,1,-3.225,1,0.0204,0.0,0.0712,0.411,0.426,147.045,218284,4,rap
69,0.607,0.609,0,-5.978,0,0.389,1.6e-05,0.291,0.111,0.556,74.946,185610,4,rap
70,0.588,0.567,4,-3.738,0,0.221,0.0,0.0628,0.135,0.113,150.009,338438,4,rap
73,0.819,0.651,1,-5.829,1,0.00639,0.0,0.169,0.122,0.501,139.957,185786,4,rap
76,0.785,0.554,0,-6.571,1,0.283,3.4e-06,0.0409,0.116,0.144,128.047,150043,4,rap
80,0.712,0.481,4,-5.415,0,0.173,0.0,0.0487,0.241,0.062,140.0,196138,4,rap
67,0.769,0.569,1,-5.591,0,0.0737,0.0,0.0786,0.0571,0.612,146.062,216946,4,rap
68,0.744,0.589,5,-1.218,0,0.36,0.0,0.0359,0.119,0.242,127.051,286236,4,rap
70,0.741,0.645,11,-5.116,0,0.192,0.0,0.0963,0.163,0.488,149.07,231964,4,rap
75,0.46,0.686,0,-5.948,0,0.00146,0.0,0.0367,0.375,0.252,148.054,145588,4,rap
55,0.8,0.541,10,-5.05,0,0.0252,0.0,0.0375,0.146,0.194,135.99,183514,4,rap
68,0.428,0.403,5,-5.914,0,0.229,0.0,0.209,0.22,0.133,95.387,180183,5,rap
71,0.743,0.571,7,-6.054,0,0.24,0.0,0.145,0.291,0.495,119.054,213863,4,rap
76,0.7,0.46,4,-8.111,0,0.142,4.81e-05,0.0661,0.111,0.286,151.901,142969,4,rap
71,0.642,0.782,5,-3.395,0,0.381,0.0,0.0477,0.108,0.396,162.005,195053,4,rap
69,0.834,0.731,10,-5.603,0,0.0462,0.0,0.0566,0.0731,0.681,140.001,176720,4,rap
80,0.402,0.526,9,-6.741,0,0.113,8.33e-06,0.0904,0.105,0.312,81.404,339067,4,rap
67,0.396,0.554,0,-5.048,1,0.222,0.0,0.0488,0.612,0.17,117.384,272501,4,rap
71,0.711,0.739,7,-3.804,0,0.114,0.0,0.129,0.226,0.43,136.919,252256,4,rap
63,0.626,0.526,7,-4.112,0,0.0485,0.00627,0.0452,0.107,0.17,127.977,176640,4,rap
67,0.804,0.763,2,-5.48,1,0.0678,0.0,0.0519,0.368,0.0585,136.052,156886,4,rap
65,0.459,0.623,1,-4.45,1,0.352,0.0,0.0489,0.131,0.205,126.018,351253,4,rap
66,0.823,0.768,11,-6.21,1,0.0146,1.03e-06,0.0819,0.127,0.216,115.021,274320,4,rap
65,0.706,0.559,4,-5.216,0,0.0372,0.0,0.0416,0.379,0.252,78.534,217405,4,rap
68,0.773,0.595,8,-6.062,0,0.114,2.47e-06,0.161,0.13,0.338,123.968,461840,4,rap
73,0.925,0.443,1,-8.216,1,0.0172,0.0,0.264,0.276,0.35,136.078,236615,4,rap
68,0.28,0.821,8,-2.864,0,0.167,0.0,0.111,0.139,0.254,181.444,256163,3,rap
66,0.855,0.478,1,-9.116,1,0.00759,0.0,0.193,0.101,0.284,130.018,221827,4,rap
65,0.745,0.686,4,-5.7,0,0.528,0.0,0.0313,0.176,0.437,121.978,363934,4,rap
66,0.796,0.5,1,-7.21,1,0.118,0.0,0.425,0.155,0.227,75.012,255560,4,rap
67,0.866,0.648,1,-3.675,1,0.009,0.0,0.0543,0.0967,0.0798,150.058,140793,4,rap
75,0.674,0.506,6,-10.532,1,0.173,0.0,0.0434,0.0866,0.183,145.965,259333,4,rap
63,0.868,0.657,8,-4.853,1,0.0158,0.0,0.113,0.0995,0.436,162.867,191410,4,rap
72,0.782,0.435,2,-7.033,1,0.333,1.31e-05,0.156,0.342,0.242,82.996,268933,4,rap
79,0.795,0.594,0,-6.2,1,0.112,0.0,0.0748,0.162,0.409,135.002,275080,4,rap
70,0.522,0.728,3,-3.801,0,0.00134,0.0,0.0323,0.132,0.18,124.045,321560,4,rap
71,0.81,0.582,5,-5.098,0,0.0862,0.00681,0.125,0.207,0.503,95.004,209116,4,rap
68,0.724,0.45,4,-5.763,0,0.0315,1.42e-05,0.0497,0.111,0.464,140.978,180560,4,rap
60,0.691,0.736,0,-4.993,1,0.104,0.0,0.0321,0.111,0.0395,140.034,193510,4,rap
62,0.668,0.844,1,-4.151,1,0.00389,0.00879,0.0956,0.119,0.33,159.108,172017,4,rap
60,0.656,0.564,1,-8.925,0,0.0167,1.39e-06,0.0883,0.165,0.25,150.014,268947,4,rap
56,0.827,0.591,5,-7.504,0,0.0307,0.0,0.0744,0.273,0.402,142.113,202835,4,rap
59,0.738,0.814,7,-4.414,0,0.132,9.64e-06,0.0999,0.126,0.483,119.041,225850,4,rap
