popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
0,0.204,0.0311,7,-32.097,1,0.966,0.0667,0.0409,0.0501,0.0393,82.567,508667,4,classique
0,0.168,0.0732,2,-25.556,0,0.993,0.0214,0.0429,0.0838,0.0433,141.828,387000,3,classique
0,0.248,0.0155,2,-24.089,0,0.886,5.92e-06,0.0455,0.111,0.326,83.344,134493,1,classique
15,0.282,0.096,11,-26.449,1,0.995,2.91e-06,0.0464,0.143,0.0563,112.134,55938,3,classique
15,0.333,0.209,0,-25.471,1,0.996,0.0,0.0505,0.358,0.401,84.755,46843,4,classique
17,0.147,0.0619,11,-25.935,0,0.996,0.0,0.0537,0.0777,0.0536,190.861,55800,3,classique
15,0.292,0.0541,3,-26.331,1,0.993,0.0,0.0427,0.235,0.0998,107.078,59923,5,classique
15,0.23,0.13,8,-25.909,1,0.995,0.0,0.0508,0.296,0.0979,80.883,51150,4,classique
15,0.165,0.0436,8,-30.632,1,0.994,0.0,0.0459,0.111,0.112,93.02,55611,4,classique
15,0.203,0.106,10,-23.027,1,0.995,0.0,0.0467,0.348,0.271,76.089,43700,4,classique
15,0.136,0.0358,2,-31.068,1,0.995,0.00447,0.0492,0.0944,0.0531,81.84,65091,4,classique
15,0.158,0.00747,2,-35.845,1,0.992,0.0901,0.0684,0.0815,0.038,82.039,37770,5,classique
2,0.14,0.131,9,-18.679,0,0.947,0.56,0.0516,0.116,0.0406,144.799,254840,5,classique
2,0.162,0.0196,2,-28.36,0,0.931,0.835,0.0382,0.0859,0.0694,66.057,312360,4,classique
3,0.469,0.0123,7,-33.657,1,0.932,0.63,0.0592,0.08,0.282,100.814,128027,4,classique
13,0.269,0.144,6,-16.384,1,0.994,0.000618,0.0458,0.109,0.0412,169.557,207853,4,classique
0,0.153,0.143,9,-17.917,0,0.969,0.178,0.0433,0.0872,0.0393,174.246,417750,4,classique
0,0.146,0.0136,9,-25.3,0,0.976,0.786,0.0364,0.0833,0.0397,73.848,309500,4,classique
1,0.51,0.034,11,-30.874,0,0.952,0.869,0.0702,0.0718,0.301,89.397,143907,4,classique
0,0.263,0.106,4,-22.04,0,0.878,0.00166,0.0538,0.684,0.104,91.033,344293,3,classique
0,0.206,0.159,4,-19.178,0,0.927,0.0316,0.0408,0.367,0.1,80.785,132773,3,classique
0,0.17,0.0424,4,-28.961,0,0.947,0.000895,0.0533,0.633,0.0666,171.325,503133,3,classique
5,0.287,0.149,3,-20.054,0,0.882,5.8e-05,0.0384,0.111,0.133,105.906,160440,5,classique
1,0.249,0.115,2,-18.98,1,0.959,0.0,0.0459,0.257,0.0787,67.6,285733,3,classique
0,0.325,0.0644,5,-21.023,1,0.97,1.61e-05,0.0424,0.0922,0.157,69.978,335000,4,classique
0,0.172,0.146,7,-17.525,0,0.962,1.14e-05,0.0384,0.219,0.116,90.92,357267,4,classique
0,0.0983,0.0704,7,-26.444,0,0.986,0.000256,0.0545,0.144,0.035,75.042,714947,3,classique
0,0.146,0.0533,6,-25.597,0,0.978,0.879,0.0418,0.103,0.179,85.221,243000,4,classique
0,0.14,0.15,2,-22.01,0,0.97,0.00015,0.0389,0.151,0.148,96.859,655360,3,classique
2,0.164,0.135,6,-17.902,0,0.941,2.54e-05,0.0354,0.104,0.162,88.954,274467,4,classique
0,0.369,0.0514,10,-20.046,1,0.967,0.0,0.0316,0.106,0.259,140.906,151973,3,classique
3,0.137,0.107,0,-21.88,0,0.975,7.34e-05,0.0431,0.193,0.0985,176.552,232813,3,classique
5,0.205,0.108,0,-22.34,0,0.962,0.000478,0.0458,0.12,0.127,148.6,323093,3,classique
4,0.415,0.185,0,-18.6,0,0.858,0.0,0.0415,0.141,0.34,118.198,241093,3,classique
1,0.327,0.00665,1,-37.74,0,0.989,0.896,0.0516,0.11,0.126,83.148,160293,4,classique
0,0.363,0.426,6,-10.828,0,0.455,0.707,0.0392,0.114,0.182,82.103,165667,4,classique
0,0.386,0.0332,1,-19.027,0,0.976,0.901,0.0362,0.0719,0.312,107.875,170899,3,classique
0,0.501,0.544,0,-15.167,1,0.826,0.867,0.0314,0.362,0.77,95.058,82245,4,classique
0,0.369,0.0459,11,-23.664,0,0.943,0.0,0.0476,0.156,0.34,74.736,103240,3,classique
0,0.157,0.109,6,-22.881,0,0.981,0.0428,0.0403,0.101,0.0369,75.006,233667,4,classique
0,0.604,0.18,9,-16.873,1,0.908,0.000536,0.0427,0.355,0.668,130.971,125202,4,classique
1,0.231,0.0798,2,-15.817,1,0.964,0.00198,0.0431,0.469,0.302,82.283,341973,4,classique
40,0.14,0.0179,6,-28.038,0,0.962,0.000603,0.055,0.21,0.0383,83.078,246240,5,classique
13,0.12,0.0191,6,-28.3,0,0.981,0.131,0.0587,0.0948,0.0399,176.168,260893,4,classique
0,0.375,0.108,7,-19.388,0,0.845,2.15e-06,0.0455,0.168,0.224,116.573,379467,4,classique
0,0.4,0.109,7,-23.9,1,0.874,0.0126,0.0557,0.0849,0.144,127.098,509733,4,classique
3,0.349,0.0601,2,-25.76,0,0.96,0.651,0.0455,0.0984,0.149,127.72,767253,3,classique
0,0.0781,0.0462,0,-23.246,0,0.559,0.863,0.0365,0.188,0.0343,81.291,708933,4,classique
41,0.086,0.0049,1,-32.551,1,0.963,0.364,0.0522,0.106,0.0414,74.988,309200,4,classique
0,0.421,0.179,1,-18.922,0,0.822,0.0049,0.0436,0.0861,0.297,137.44,549133,3,classique
3,0.42,0.127,2,-21.217,1,0.972,0.567,0.0331,0.0901,0.149,109.558,168760,4,classique
0,0.401,0.133,4,-16.936,1,0.783,0.693,0.0509,0.0916,0.22,85.834,195500,4,classique
