popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
35,0.581,0.694,4,-7.065,0,0.0431,0.0915,0.0719,0.678,0.349,159.97,230688,4,electro
35,0.429,0.983,5,-1.962,1,0.00135,0.858,0.125,0.129,0.478,149.964,224000,4,electro
49,0.629,0.986,6,-0.565,0,0.0249,1.38e-06,0.465,0.841,0.0559,102.513,268098,4,electro
58,0.758,0.746,0,-7.209,0,0.442,0.000834,0.0285,0.154,0.658,137.968,164893,4,electro
24,0.647,0.674,1,-5.345,1,0.025,0.22,0.283,0.0871,0.308,148.011,196391,4,electro
34,0.59,0.998,8,-2.804,1,0.0393,0.00154,0.447,0.301,0.0923,160.2,158813,4,electro
21,0.741,0.983,11,-2.059,0,0.0269,0.0,0.121,0.114,0.274,109.972,186548,4,electro
13,0.589,0.993,1,0.405,1,0.275,0.00174,0.158,0.19,0.154,160.01,192000,4,electro
49,0.706,0.824,9,-2.927,1,0.0093,0.00514,0.216,0.221,0.275,129.857,202615,4,electro
60,0.321,0.939,6,-4.86,0,0.00342,0.81,0.0616,0.0905,0.179,131.933,194261,4,electro
55,0.65,0.912,10,-4.588,0,0.0241,0.8,0.0406,0.293,0.191,129.999,234462,4,electro
54,0.678,0.967,0,-5.296,1,0.00596,0.73,0.089,0.0694,0.31,138.019,198584,3,electro
50,0.455,0.953,6,-3.784,0,0.00988,0.329,0.0895,0.247,0.243,127.284,206250,4,electro
52,0.729,0.947,11,-3.103,0,0.211,0.822,0.0458,0.367,0.209,130.005,211000,4,electro
51,0.631,0.918,2,-4.92,0,0.00116,0.387,0.0374,0.101,0.338,112.489,210973,3,electro
49,0.54,0.953,11,-2.237,0,0.0622,0.658,0.0809,0.132,0.124,139.902,159429,4,electro
52,0.312,0.937,8,-3.994,0,0.00301,0.182,0.0504,0.288,0.257,137.993,189525,4,electro
49,0.553,0.776,11,-4.371,1,0.0536,1.24e-06,0.0388,0.112,0.339,128.123,152000,4,electro
55,0.56,0.869,6,-4.587,0,0.00214,4.06e-06,0.0622,0.304,0.177,134.934,189333,4,electro
53,0.591,0.835,4,-3.398,0,0.0998,0.0,0.0977,0.148,0.472,127.931,189375,4,electro
40,0.628,0.987,6,0.427,0,0.00114,0.677,0.184,0.324,0.164,155.003,195097,4,electro
47,0.463,0.987,10,-2.624,0,0.00286,0.701,0.295,0.26,0.0729,175.059,216686,4,electro
51,0.414,0.973,7,-2.186,1,0.00864,0.741,0.262,0.166,0.315,97.418,209771,3,electro
58,0.753,0.991,9,-1.599,1,0.198,0.761,0.107,0.115,0.448,99.999,243900,4,electro
52,0.373,0.993,2,1.111,1,0.121,0.0,0.317,0.257,0.0534,99.971,211200,4,electro
22,0.4,0.967,2,-1.84,1,0.00473,0.88,0.114,0.0822,0.49,148.982,182817,4,electro
26,0.664,0.931,4,-4.413,0,0.0608,0.282,0.116,0.0848,0.761,180.003,223337,4,electro
40,0.295,0.969,9,-5.525,1,0.00224,0.773,0.0729,0.104,0.22,137.746,152421,3,electro
22,0.397,0.646,6,-6.647,1,0.00405,0.232,0.0847,0.176,0.489,136.054,150945,4,electro
27,0.657,0.997,8,-0.591,1,0.0691,0.0,0.199,0.222,0.169,100.036,140250,4,electro
30,0.537,0.995,10,-1.546,1,0.013,0.0221,0.186,0.222,0.237,112.464,174400,1,electro
37,0.638,0.811,6,-5.081,0,0.00168,0.002,0.0531,0.564,0.082,138.032,214622,4,electro
27,0.767,0.962,11,-1.228,0,0.102,0.0187,0.104,0.525,0.324,115.039,116400,4,electro
17,0.49,0.961,7,-5.57,1,0.000545,0.0839,0.138,0.378,0.134,199.983,207687,4,electro
35,0.524,0.997,0,-2.514,1,0.0282,0.14,0.333,0.174,0.333,174.989,226286,4,electro
0,0.55,0.989,7,-0.623,1,0.132,1.97e-05,0.246,0.167,0.376,200.059,290420,4,electro
34,0.523,0.96,7,-1.763,1,0.0141,0.471,0.133,0.337,0.412,99.861,249182,4,electro
38,0.528,0.999,7,-1.927,1,0.0903,0.46,0.508,0.333,0.0376,97.432,171076,4,electro
25,0.544,0.984,1,-0.985,1,0.0105,3.22e-05,0.266,0.387,0.175,170.052,189058,4,electro
33,0.663,0.792,11,-6.129,1,0.13,2.75e-06,0.24,0.098,0.339,140.092,178720,4,electro
29,0.621,0.957,2,0.347,1,0.0486,0.0188,0.131,0.183,0.0385,100.043,253200,4,electro
23,0.646,0.921,0,-5.961,1,0.007,0.427,0.0684,0.307,0.329,150.025,209879,4,electro
38,0.526,0.954,4,-2.109,0,0.142,0.00783,0.281,0.499,0.564,180.216,160000,4,electro
23,0.547,0.998,7,-1.41,1,0.109,0.00334,0.421,0.485,0.0381,180.007,199667,4,electro
33,0.414,0.923,11,-1.288,0,0.00278,0.0947,0.392,0.184,0.191,99.982,205140,4,electro
38,0.686,0.9,1,-2.923,1,0.00289,0.295,0.0475,0.118,0.248,92.493,239868,4,electro
45,0.364,0.974,11,-2.99,0,0.05,0.0316,0.364,0.165,0.127,180.11,165333,4,electro
17,0.651,0.978,2,-4.661,1,0.0399,0.00407,0.385,0.831,0.263,174.977,194743,4,electro
43,0.428,0.997,2,-3.396,1,0.000458,0.0609,0.104,0.75,0.233,159.919,277501,4,electro
20,0.299,0.975,10,-2.445,1,0.0117,0.905,0.514,0.139,0.0855,199.622,273056,4,electro
0,0.466,0.996,1,-1.008,1,0.0103,0.00174,0.588,0.298,0.354,195.067,257231,4,electro
0,0.553,0.827,2,-5.381,1,0.00188,0.0,0.0482,0.304,0.153,132.077,167500,4,electro
43,0.424,0.944,1,-4.038,1,0.00014,0.66,0.0547,0.691,0.0369,189.855,353684,4,electro
58,0.495,0.532,1,-8.846,0,0.0227,0.354,0.0528,0.331,0.0514,140.004,329125,4,electro
58,0.632,0.962,8,-3.311,1,0.0146,0.53,0.302,0.297,0.0919,139.051,162302,4,electro
44,0.613,0.884,1,-6.213,0,0.00168,0.837,0.036,0.258,0.111,140.009,193821,4,electro
27,0.768,0.726,4,-5.056,0,0.0113,0.162,0.0588,0.0821,0.799,142.019,228169,4,electro
33,0.498,0.988,7,-0.876,1,0.0157,1.18e-06,0.359,0.237,0.457,180.061,180000,4,electro
19,0.497,0.988,7,-1.587,1,0.00148,0.0945,0.305,0.565,0.193,199.936,259200,4,electro
32,0.563,0.955,2,-3.17,1,0.0146,0.00196,0.078,0.451,0.233,94.975,189923,4,electro
47,0.539,0.794,0,-9.073,0,0.0604,0.274,0.0546,0.18,0.125,99.946,322387,4,electro
47,0.526,0.995,0,-0.445,0,0.105,0.0556,0.0617,0.376,0.419,100.017,230400,4,electro
0,0.447,0.993,5,-0.77,1,0.000505,0.981,0.0431,0.517,0.0389,100.005,158400,4,electro
45,0.437,0.997,10,-1.164,0,0.115,0.811,0.226,0.347,0.111,97.406,179684,3,electro
0,0.609,0.996,11,-1.29,0,0.00398,0.295,0.0982,0.513,0.181,100.016,250739,4,electro
47,0.566,0.937,1,-2.632,1,0.0036,0.196,0.271,0.237,0.238,175.001,186514,4,electro
29,0.611,0.975,5,-1.456,0,0.408,0.889,0.134,0.1,0.136,100.005,213600,4,electro
31,0.704,0.948,6,-1.805,0,0.0242,0.666,0.0963,0.363,0.0573,100.034,230244,4,electro
45,0.456,0.856,2,-1.729,0,0.399,0.0162,0.038,0.283,0.0717,99.995,187801,4,electro
54,0.342,0.952,1,1.441,1,0.00917,0.000742,0.405,0.34,0.226,199.065,126016,4,electro
56,0.395,0.984,8,-3.404,1,0.0131,0.13,0.0911,0.38,0.261,200.07,236031,4,electro
47,0.535,0.908,4,-4.013,0,0.00029,2.18e-05,0.0578,0.819,0.429,190.101,247928,4,electro
60,0.372,0.988,1,-0.897,1,0.193,0.00291,0.411,0.0731,0.314,94.983,192644,4,electro
35,0.612,0.898,11,-5.762,0,0.00168,0.275,0.0667,0.0729,0.341,180.023,389444,4,electro
0,0.646,0.98,0,-2.673,1,0.0241,0.862,0.0821,0.366,0.104,99.995,273600,4,electro
46,0.319,0.953,8,-3.307,0,0.58,0.21,0.234,0.0952,0.081,100.035,211513,3,electro
0,0.623,0.988,3,-3.971,0,0.077,0.169,0.102,0.286,0.392,99.951,243600,4,electro
33,0.49,0.995,5,-2.562,1,0.00307,0.0297,0.452,0.951,0.238,174.877,170414,4,electro
50,0.63,0.991,1,-2.69,1,0.00205,0.509,0.236,0.144,0.04,100.001,220803,4,electro
30,0.559,0.991,6,-2.409,1,0.0266,1.94e-06,0.416,0.227,0.0491,155.089,244645,3,electro
31,0.335,0.979,8,-0.932,1,0.00195,0.165,0.0648,0.511,0.181,95.11,190439,4,electro
24,0.658,0.987,11,-0.259,0,0.0436,0.687,0.349,0.261,0.157,100.096,240600,4,electro
51,0.564,0.897,5,-5.794,0,0.00106,0.674,0.0814,0.0967,0.226,139.999,194571,4,electro
32,0.643,0.876,0,-5.9,0,0.00424,0.942,0.0546,0.0768,0.256,128.016,164341,4,electro
43,0.731,0.91,7,-2.788,1,0.000213,0.0,0.356,0.194,0.719,100.014,268800,4,electro
32,0.506,0.945,1,-0.744,1,0.00237,0.0868,0.0983,0.121,0.0399,94.967,233053,4,electro
34,0.549,0.978,6,-0.751,0,0.00274,0.0594,0.104,0.62,0.0676,95.046,176842,4,electro
33,0.402,0.994,2,-1.534,1,0.0154,0.747,0.411,0.139,0.0332,110.052,200727,4,electro
34,0.559,0.93,10,-1.548,1,0.00121,8.34e-05,0.101,0.157,0.0629,99.989,198300,4,electro
41,0.333,0.985,5,-2.843,0,0.0326,0.769,0.0563,0.226,0.393,135.24,189826,4,electro
0,0.763,0.774,9,-11.072,1,0.532,0.921,0.0945,0.0838,0.0402,160.074,270080,4,electro
47,0.452,0.988,11,-3.481,1,0.0168,0.0,0.058,0.201,0.0828,92.463,219243,4,electro
