popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
0,0.629,0.817,6,-4.261,1,0.199,0.0,0.0357,0.317,0.466,123.087,220293,4,rap
0,0.663,0.489,5,-8.198,1,0.227,0.0,0.124,0.0769,0.117,81.959,179613,4,rap
0,0.578,0.532,5,-6.636,0,0.117,8.97e-05,0.066,0.143,0.12,159.784,218320,4,rap
0,0.622,0.699,7,-6.514,1,0.107,0.0,0.0466,0.114,0.386,133.931,234213,4,rap
0,0.755,0.448,7,-9.587,1,0.0283,3.28e-05,0.107,0.514,0.318,77.179,198960,4,rap
5,0.748,0.546,8,-8.134,1,0.59,0.0,0.106,0.112,0.413,140.005,220880,4,rap
0,0.677,0.577,7,-7.671,1,0.221,0.0,0.0355,0.0776,0.329,130.05,256533,4,rap
67,0.672,0.717,1,-2.714,1,0.341,2.4e-05,0.034,0.106,0.225,160.981,194560,4,rap
68,0.625,0.536,0,-5.428,1,0.038,2.31e-05,0.0776,0.167,0.253,159.914,221787,4,rap
83,0.68,0.578,10,-5.804,1,0.331,0.0,0.04,0.135,0.341,145.038,231267,4,rap
48,0.733,0.678,6,-7.771,1,0.121,0.0,0.439,0.345,0.841,175.984,144149,4,rap
76,0.507,0.48,5,-5.418,1,0.449,0.0,0.0266,0.147,0.35,86.046,204427,4,rap
1,0.511,0.566,6,-7.23,0,0.349,0.0,0.2,0.34,0.218,83.903,239836,4,rap
5,0.669,0.574,4,-6.442,0,0.0175,0.00294,0.0286,0.146,0.273,120.013,196400,4,rap
84,0.921,0.537,9,-5.723,0,0.556,0.00404,0.0804,0.102,0.711,128.009,135090,4,rap
84,0.834,0.73,8,-3.714,1,0.00513,0.0,0.222,0.124,0.446,155.008,312820,4,rap
71,0.703,0.723,9,-5.45,0,0.0302,2.06e-06,0.0412,0.126,0.288,104.969,198903,4,rap
76,0.487,0.789,8,-3.69,1,0.00947,4.05e-06,0.044,0.189,0.0564,150.007,270715,4,rap
68,0.497,0.77,6,-4.298,1,0.0472,0.0,0.0757,0.102,0.47,167.892,213640,4,rap
24,0.861,0.637,8,-5.692,0,0.0515,3.35e-06,0.24,0.0967,0.474,98.044,228654,4,rap
0,0.753,0.498,2,-5.61,1,0.551,0.0,0.0504,0.0706,0.927,89.95,158053,4,rap
71,0.689,0.723,0,-4.052,0,0.0985,0.0,0.0836,0.158,0.288,160.042,217828,4,rap
10,0.833,0.539,11,-7.399,0,0.163,2.1e-06,0.178,0.101,0.385,99.947,149520,4,rap
76,0.785,0.554,0,-6.571,1,0.283,3.4e-06,0.0409,0.116,0.144,128.047,150043,4,rap
69,0.575,0.734,2,-4.949,1,0.0757,0.0,0.057,0.241,0.494,83.986,179827,4,rap
72,0.798,0.733,7,-4.811,0,0.265,1.25e-06,0.0476,0.114,0.861,146.046,211427,4,rap
82,0.889,0.496,4,-6.365,0,0.259,0.0,0.0905,0.252,0.544,86.003,180522,4,rap
0,0.397,0.691,6,-4.981,0,0.178,0.0,0.197,0.0722,0.249,170.788,207680,4,rap
83,0.901,0.464,5,-9.789,0,0.368,1.71e-05,0.0645,0.238,0.638,109.004,203267,4,rap
70,0.741,0.645,11,-5.116,0,0.192,0.0,0.0963,0.163,0.488,149.07,231964,4,rap
80,0.665,0.651,1,-5.515,1,0.0414,0.0,0.156,0.0896,0.237,163.935,175755,4,rap
80,0.702,0.708,10,-5.366,0,0.201,0.0,0.0547,0.118,0.713,147.98,198408,4,rap
69,0.507,0.644,4,-7.485,1,0.00413,0.0,0.0641,0.217,0.172,179.913,211267,4,rap
69,0.796,0.586,4,-6.946,0,0.0247,0.0,0.147,0.132,0.179,97.981,200107,4,rap
1,0.712,0.515,10,-6.004,0,0.234,0.0,0.0857,0.205,0.563,160.0,201920,4,rap
79,0.831,0.502,10,-4.045,0,0.101,0.0,0.046,0.122,0.101,100.541,205427,4,rap
71,0.743,0.571,7,-6.054,0,0.24,0.0,0.145,0.291,0.495,119.054,213863,4,rap
72,0.782,0.435,2,-7.033,1,0.333,1.31e-05,0.156,0.342,0.242,82.996,268933,4,rap
75,0.713,0.526,1,-5.046,1,0.00767,0.000148,0.032,0.124,0.131,131.05,262693,4,rap
72,0.876,0.662,2,-6.482,0,0.0608,0.0,0.426,0.127,0.844,75.445,163320,4,rap
5,0.58,0.653,5,-3.818,1,0.447,0.0,0.0745,0.111,0.175,150.231,174960,4,rap
72,0.854,0.463,5,-6.159,1,0.117,0.0,0.137,0.354,0.549,120.024,225773,4,rap
71,0.642,0.782,5,-3.395,0,0.381,0.0,0.0477,0.108,0.396,162.005,195053,4,rap
65,0.716,0.823,5,-5.313,0,0.132,0.0,0.0495,0.361,0.91,151.957,161747,4,rap
55,0.677,0.714,11,-5.637,1,0.162,0.0,0.0287,0.0717,0.355,94.956,136568,4,rap
63,0.703,0.594,5,-6.146,0,0.342,0.0,0.0752,0.123,0.475,153.848,114893,4,rap
59,0.847,0.742,8,-5.515,0,0.397,0.0,0.247,0.135,0.56,133.989,148653,4,rap
75,0.46,0.686,0,-5.948,0,0.00146,0.0,0.0367,0.375,0.252,148.054,145588,4,rap
81,0.729,0.625,4,-5.266,1,0.194,0.00986,0.0315,0.248,0.261,146.034,183907,4,rap
68,0.428,0.403,5,-5.914,0,0.229,0.0,0.209,0.22,0.133,95.387,180183,5,rap
67,0.804,0.763,2,-5.48,1,0.0678,0.0,0.0519,0.368,0.0585,136.052,156886,4,rap
67,0.396,0.554,0,-5.048,1,0.222,0.0,0.0488,0.612,0.17,117.384,272501,4,rap
63,0.593,0.632,6,-5.381,0,0.0133,0.0,0.541,0.64,0.0789,173.369,235232,4,rap
63,0.695,0.566,6,-7.484,0,0.00202,0.0,0.124,0.167,0.388,80.029,175569,4,rap
80,0.402,0.526,9,-6.741,0,0.113,8.33e-06,0.0904,0.105,0.312,81.404,339067,4,rap
86,0.897,0.662,1,-6.903,0,0.0852,0.0,0.292,0.534,0.389,112.511,145543,4,rap
5,0.623,0.608,1,-5.937,0,0.426,0.0,0.0434,0.105,0.263,84.98,208518,4,rap
79,0.759,0.73,0,-7.985,0,0.145,3.06e-06,0.0516,0.11,0.74,115.007,268434,4,rap
0,0.671,0.529,0,-7.226,1,0.0769,0.000335,0.307,0.0856,0.203,161.989,165820,4,rap
59,0.832,0.557,7,-3.947,0,0.307,0.0,0.053,0.176,0.279,125.999,200453,4,rap
66,0.736,0.482,4,-8.242,1,0.327,0.0,0.196,0.229,0.608,140.064,224507,4,rap
4,0.745,0.642,7,-6.257,0,0.0204,0.0,0.287,0.0658,0.226,179.974,131280,4,rap
66,0.853,0.637,3,-5.924,0,0.129,0.0,0.331,0.267,0.496,86.048,156195,4,rap
69,0.793,0.344,6,-9.757,1,0.112,1.68e-06,0.357,0.15,0.45,166.105,233880,4,rap
80,0.912,0.412,7,-8.074,1,0.0165,0.0126,0.123,0.104,0.423,154.983,238614,4,rap
54,0.749,0.641,6,-5.268,1,0.538,0.0,0.0444,0.0775,0.409,140.08,223173,4,rap
75,0.744,0.715,0,-6.103,1,0.101,0.0,0.351,0.0919,0.34,154.962,179773,4,rap
65,0.844,0.513,1,-8.769,1,0.178,0.0,0.335,0.0845,0.344,128.085,244941,4,rap
0,0.704,0.758,0,-3.537,1,0.233,0.00144,0.0402,0.0924,0.534,120.003,214907,4,rap
75,0.785,0.62,8,-6.667,1,0.0138,0.0,0.254,0.15,0.478,78.477,235535,4,rap
68,0.877,0.477,9,-7.379,0,0.307,0.0,0.0587,0.0929,0.552,127.023,226743,4,rap
70,0.755,0.615,4,-8.245,1,0.00587,1.75e-06,0.0454,0.109,0.039,105.955,215364,4,rap
72,0.721,0.508,7,-7.496,1,0.317,0.0,0.394,0.153,0.457,159.911,166343,4,rap
78,0.97,0.463,10,-7.259,1,0.0957,0.0,0.366,0.151,0.46,108.003,142417,4,rap
72,0.729,0.603,6,-6.736,0,0.0948,0.0,0.0666,0.113,0.207,134.972,243976,4,rap
75,0.715,0.639,5,-5.017,0,0.0622,0.0,0.0752,0.157,0.151,149.996,205800,4,rap
85,0.88,0.428,9,-8.28,1,0.149,5.05e-05,0.206,0.114,0.333,100.007,172800,4,rap
73,0.594,0.798,4,-5.244,1,0.115,0.0,0.0844,0.143,0.381,142.049,191840,4,rap
83,0.963,0.346,5,-9.309,0,0.0355,0.0,0.53,0.108,0.562,119.957,142273,4,rap
83,0.732,0.75,11,-6.366,0,0.00264,0.0,0.231,0.109,0.401,155.096,182707,4,rap
59,0.731,0.657,0,-8.56,1,0.0591,0.0,0.0434,0.0874,0.49,159.97,184490,4,rap
71,0.74,0.488,1,-7.664,0,0.234,0.0,0.27,0.241,0.584,149.042,120133,4,rap
66,0.823,0.768,11,-6.21,1,0.0146,1.03e-06,0.0819,0.127,0.216,115.021,274320,4,rap
0,0.405,0.646,4,-3.206,0,0.331,0.0,0.0476,0.103,0.17,130.218,156267,4,rap
