popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,duration_ms,time_signature,genre
85,0.31,0.7,9,-5.678,1,0.011,0.00965,0.047,0.0828,0.763,188.386,255493,4,rock
83,0.933,0.528,5,-6.472,0,0.112,0.312,0.161,0.163,0.754,109.967,214653,4,rock
68,0.37,0.919,4,-5.721,1,0.000376,0.419,0.102,0.49,0.471,134.021,344240,4,rock
66,0.447,0.954,8,-8.069,1,0.0235,0.403,0.0751,0.298,0.331,123.453,272027,4,rock
39,0.598,0.737,1,-13.463,1,0.0227,0.0,0.1,0.135,0.806,144.79,176973,4,rock
75,0.599,0.931,7,-4.653,1,0.0302,6.69e-05,0.0735,0.392,0.536,140.123,270427,4,rock
78,0.412,0.902,9,-11.6,1,0.0484,0.131,0.405,0.405,0.422,89.74,333893,4,rock
79,0.817,0.599,0,-9.249,0,0.132,0.000311,0.0328,0.0873,0.548,108.873,245640,4,rock
81,0.377,0.681,7,-8.039,1,0.00088,0.0023,0.0298,0.0504,0.285,108.789,285133,4,rock
71,0.454,0.946,1,-5.978,0,0.0223,0.0,0.13,0.173,0.647,138.18,156147,4,rock
84,0.502,0.912,1,-4.556,1,2.55e-05,0.000173,0.0564,0.106,0.72,116.761,301920,4,rock
0,0.608,0.688,5,-7.655,0,0.134,0.206,0.0296,0.0951,0.749,114.414,334240,4,rock
84,0.508,0.834,2,-6.205,1,0.0183,0.0,0.0386,0.0732,0.774,139.131,216053,4,rock
72,0.642,0.766,2,-6.82,0,0.0407,0.000103,0.0401,0.0593,0.593,134.185,504333,4,rock
69,0.454,0.91,6,-7.766,1,0.0866,0.0996,0.0448,0.116,0.629,125.116,354520,4,rock
35,0.505,0.479,10,-10.27,1,0.326,0.00753,0.026,0.0936,0.327,147.037,253878,4,rock
83,0.768,0.852,4,-6.215,1,0.214,7.36e-05,0.038,0.0723,0.867,128.373,271240,4,rock
59,0.577,0.676,8,-7.575,1,0.0144,1.36e-05,0.0331,0.424,0.374,139.418,219373,4,rock
34,0.192,0.612,8,-9.1,1,2.18e-06,0.69,0.0436,0.108,0.477,140.35,150730,4,rock
86,0.828,0.492,0,-9.744,1,0.0644,0.00428,0.0276,0.128,0.789,120.151,257800,4,rock
64,0.273,0.952,11,-8.762,1,0.0169,0.0111,0.0843,0.142,0.472,100.271,405640,4,rock
30,0.484,0.881,11,-5.713,0,0.00083,0.254,0.0372,0.0647,0.422,117.524,262293,4,rock
86,0.574,0.913,6,-4.793,0,0.061,0.00158,0.133,0.156,0.423,115.728,208400,4,rock
86,0.532,0.887,0,-3.757,1,0.0778,0.000214,0.0335,0.294,0.795,122.511,249293,4,rock
32,0.675,0.836,2,-3.29,0,0.0373,0.0,0.029,0.291,0.482,124.063,175920,4,rock
80,0.249,0.834,0,-8.21,1,0.0738,9.48e-05,0.0577,0.0924,0.338,118.223,547107,4,rock
80,0.754,0.759,9,-5.218,1,0.153,0.000108,0.302,0.101,0.435,126.366,214667,4,rock
14,0.655,0.831,9,-5.935,1,0.000119,0.792,0.0291,0.0848,0.45,116.0,324889,4,rock
84,0.545,0.67,9,-8.81,1,0.009,0.000822,0.0496,0.0451,0.481,151.553,270213,4,rock
